№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
2934	Магазин	Россия, Москва, Бобруйская улица, 22к1	Общество с ограниченной ответственностью "ТОРГОВЫЙ ДОМ СОЛОС-М"	923 ПРЗЮЗ	20050824	20160824	Действует
2935	Бар	Россия, Москва, Новокосинская улица, вл15ас1	Закрытое акционерное общество "ВАЛЬСАР"	7097 ДПРУ	20080427	20130427	Действует
2936	Магазин	Россия, Москва, Новокосинская улица, вл15ас1	Закрытое акционерное общество "ВАЛЬСАР"	9357 ДПРУ	20090511	20140511	Действует
2937	Универсам	Россия, Москва, Новокосинская улица, 14а	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	83 ДПРУ	20060127	20160127	Действует
2938	Магазин	Россия, Москва, Минская улица, 14к1	Общество с ограниченной ответственностью "Русская продуктовая компания"	6075 ДПРУ	20071121	20121121	Аннулирована
2939	Магазин "Продукты"	Россия, Москва, Новокосинская улица, 14к3	Общество с ограниченной ответственностью "Драм"	1948 ДПРУ	20060817	20150817	Действует
2940	Кафе	Россия, Москва, Бутиковский переулок, 7	Общество с ограниченной ответственностью "Омега"	11151 ДПРУ	20091210	20141210	Действует
2941	Магазин	Россия, Москва, улица Большие Каменщики, 6с1а	Общество с ограниченной ответственностью "Рико"	11161 ДПРУ	20091217	20141217	Действует
2942	Ресторан "ЭССЕ"	Россия, Москва, Кутузовский проспект, 39	Общество с ограниченной ответственностью Торгово-промышленная компания "Софбогард и В"	871 ДТУ	20110915	20130915	Действует
2943	Магазин	Россия, Москва, Суздальская улица, 12к4	Общество с ограниченной ответственностью "БАЙКАЛ"	8978 ДПРУ	20090123	20140123	Действует
2944	Ресторан	Россия, Москва, улица Большая Полянка, 27	Общество с ограниченной ответственностью "Вкуслэнд"	12778 ДПРУ	20100827	20140827	Действует
2945	Ресторан	Россия, Москва, улица Александра Солженицына, 2ас1	Общество с ограниченной ответственностью "БАЗАЛЬТ-А ГРУПП"	9105 ДПРУ	20100407	20140220	Приостановлена
2946	Ресторан	Россия, Москва, Кутузовский проспект, 36с11	Общество с ограниченной ответственностью "Вольта"	8740 ДПРУ	20081223	20131223	Действует
2947	Супермаркет	Россия, Москва, Новокосинская улица, 32	Общество с ограниченной ответственностью "Виктория - Московия"	10420 ДПРУ	20090915	20140915	Действует
2948	Кафе	Россия, Москва, Нижняя Радищевская улица, 5с3	Общество с ограниченной ответственностью "ЛПК Таганка"	11192 ДПРУ	20090528	20141218	Действует
2949	Ресторан	Россия, Москва, улица Остоженка, 12/1с1	Общество с ограниченной ответственностью "Интер плюс 2000"	43450 ПРИУ	20080319	20150407	Действует
2950	Кафе	Россия, Москва, Нижняя Радищевская улица, 5с1	Общество с ограниченной ответственностью "ЛЮМАКС"	6429 ДПРУ	20071228	20121228	Аннулирована
