№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
7027	Ресторан	Россия, Москва, улица Пришвина, 22	Общество с ограниченной ответственностью "Александр лэнд. Ресторанный бизнес"	13103 ДПРУ	20101103	20131103	Действует
7028	Ресторан	Россия, Москва, улица Пришвина, 22	Общество с ограниченной ответственностью "ГАРДА"	1362 ДТУ	20120124	20150124	Действует
7029	Ресторан	Россия, Москва, улица Пришвина, 22	Общество с ограниченной ответственностью "Хайвент"	1755 ДТУ	20120503	20140503	Действует
7030	Магазин-склад	Россия, Москва, Коровинское шоссе, 37	Общество с ограниченной ответственностью "БРАВО-Д"	5566 ДПРУ	20070928	20150928	Действует
7031	Кафе	Россия, Москва, Костромская улица, 12б	Общество с ограниченной ответственностью "Руслан и М"	11399 ДПРУ	20091231	20141231	Действует
7032	Магазин "Продукты"	Россия, Москва, Клязьминская улица, 10к1	Общество с ограниченной ответственностью "Нерон"	11372 ДПРУ	20091231	20141231	Действует
7033	Магазин	Россия, Москва, Ботаническая улица, 37а	Общество с ограниченной ответственностью "ВК"	9047 ДПРУ	20090209	20140209	Действует
7034	Магазин-склад	Россия, Москва, проспект Мира, 211к1	Общество с ограниченной ответственностью "МЕТРО Кэш энд Керри"	5575 ДПРУ	20071003	20171003	Действует
7035	Кафе	Россия, Москва, Гостиничный проезд, 6к2	Общество с ограниченной ответственностью "Улыбка Востока"	7297 ДПРУ	20080523	20130523	Действует
7036	Магазин	Россия, Москва, Митинская улица, 25	Общество с ограниченной ответственностью "АРМА-ФРАНС"	269 ДТУ	20110429	20140429	Действует
