№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
1630	77:06:0007003:35	ул Профсоюзная    (г Москва, ул Профсоюзная, вл 130А)	9018.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
1631	77:01:0001093:32	пер Большой Каретный    (г Москва, пер Большой Каретный, вл 22, стр 6)	3100.00000000000	эксплуатации общеобразовательной школы
1632	77:01:0001048:65	пер Староконюшенный    (г Москва, пер Староконюшенный, вл 18, 20)	600.00000000000	эксплуатации территории, прилегающей к зданию общеобразовательной школы
1633	77:07:0012001:17	ул Рябиновая    (г Москва, ул Рябиновая, вл 20)	168284.00000000000	ПОД КУНЦЕВСКОЕ КЛАДБИЩЕ И ЭКСПЛУАТАЦИЮ ЗДАНИЙ И СООРУЖЕНИЙ
1634	77:07:0001002:55	ш Рублевское    (г Москва, Рублевское шоссе, вл 34, корпус 3)	276.00000000000	ЭКСПЛУАТАЦИИ ЭЛЕКТРОТЯГОВОЙ ПОДСТАНЦИИ №181
1635	77:07:0004003:13	ул Бобруйская    (г Москва, ул Бобруйская, вл 15)	2292.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ СТОЛОВОЙ И ВСПОМОГАТЕЛЬНЫХ СООРУЖЕНИЙ
1636	77:06:0005018:15	ул Азовская    (г Москва, ул Азовская, вл 41)	9014.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
1637	77:05:0006004:21	проезд Сумской    (г Москва, проезд Сумской, вл 19А)	17314.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
1638	77:05:0012002:69	ул Кустанайская    (г Москва, ул Кустанайская, вл 9, корпус 2)	5300.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЯСЛЕЙ-САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
1639	77:02:0008007:126	ул Пестеля    (г Москва, ул Пестеля, вл 2Б)	5089.00000000000	эксплуатации здания детского сада
1640	77:04:0006000:90	ул Вольская 2-я    (г. Москва, ул. 2-я Вольская, вл. 30)	4552.31000000000	земельные участки предназначенные для размещения производственных и административных зданий, строений, сооружений промышленности, коммунального хозяйства (1.2.9)
1641	77:04:0004028:1002	ул Белореченская    (г. Москва, ул. Белореченская, вл. 41, корп. 3)	10048.00000000000	эксплуатация здания детского сада. (Земельные участки, предназначенные для размещения административных и офисных зданий, объектов образования, науки, здравоохранения и социального обеспечения, физической культуры и спорта, культуры, искусства, религии)
1642	77:01:0002017:61	ул Пятницкая    (г Москва, ул Пятницкая, вл 18)	491.20000000000	эксплуатации зданий историко-культурного назначения
1643	77:06:0008008:47	ул Академика Капицы    (г Москва, ул Академика Капицы, вл 12)	12574.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
1644	77:09:0002005:16	ул Долгопрудная    (г Москва, ул Долгопрудная, вл 6, корпус 3)	3126.00000000000	эксплуатации детского сада
1645	77:04:0001001:18	ул Лонгиновская    (г Москва, ул Лонгиновская, вл 6, стр 1)	6583.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ К НЕМУ ТЕРРИТОРИИ
1646	77:02:0008004:89	б-р Северный    (г Москва, б-р Северный, вл 4А)	14375.00000000000	эксплуатации здания школы
1647	77:03:0003015:27	ул Девятая Рота    (г Москва, ул Девятая Рота, вл 14, стр 1)	4195.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
1648	77:08:0004014:9	ул НОВОПОСЕЛКОВАЯ	3848.00000000000	ЭКСПЛУАТАЦИИ АДМИНИСТРАТИВНОГО ЗДАНИЯ
1649	77:07:0008001:79	ул Говорова    (г Москва, ул Говорова, вл 7)	17904.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
1650	77:02:0022014:10	проезд Мурманский    (г Москва, проезд Мурманский, вл 8, стр 1)	2895.00000000000	эксплуатации здания художественной школы (художественного лицея)
1651	77:07:0006003:8	проезд Сетуньский 1-й    (г Москва, проезд Сетуньский 1-й, вл 10)	3739.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ АВАРИЙНО-ЭКСПЛУАТАЦИОННОЙ СЛУЖБЫ 1-ГО РАЙОНА ВОДОПРОВОДНОЙ СЕТИ АВАРИЙНОГО УПРАВЛЕНИЯ МОСВОДОПРОВОД
1652	77:06:0004002:90	ул Черемушкинская Б.    (г Москва, ул Большая Черемушкинская, вл 36, корпус 2)	2186.00000000000	эксплуатации здания поликлиники.
1653	77:05:0010004:1037	     (г. Москва, мкр. Загорье)	6532.00000000000	Участки размещения многоквартирных жилых домов
1654	77:01:0003024:22	ул Бакунинская    (г Москва, ул Бакунинская, вл 55, стр 4)	2883.00000000000	эксплуатации здания под учебно-воспитательные цели и благоустройство территории.
1655	77:04:0005001:71	б-р Жулебинский    (г Москва, б-р Жулебинский, вл 30, корпус 2)	4567.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ДЕТСКОГО САДА
1656	77:05:0004009:164	ул Судостроительная    (г Москва, ул Судостроительная, вл 39Г)	150.00000000000	эксплуатации газорегуляторного пункта № 78
1657	77:09:0002026:51	ш Дмитровское    (г Москва, ш Дмитровское, вл 88)	8157.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
1658	77:02:0004003:5340	Широкая улица, вл. 2, корп.2, стр.3	0.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ БАССЕЙНА
1659	77:08:0005010:7	ш Волоколамское    (г. Москва, Волоколамское шоссе, вл. 83, корп. 2)	9343.00000000000	земельные участки, предназначенные для размещения производственных и административных зданий, строений, сооружений (1.2.9)
1660	77:05:0001001:1008	ул Дербеневская    (г. Москва, ул. Дербеневская, вл. 15Г)	140.34000000000	объекты размещения помещений и технических устройств газорегуляторных пунктов (ГРП) (1.2.10)
1661	77:08:0003005:12	ул Свободы    (г Москва, ул Свободы, вл 87, корпус 2)	10070.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
1662	77:02:06003:146	проезд Шокальского, вл. 9А	0.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
1663	77:07:0015003:144	ул 50 ЛЕТ ОКТЯБРЯ Г. СОЛНЦЕВ    (г Москва, г Солнцев, ул 50 лет Октября, вл 21 А)	9603.00000000000	дальнейшей эксплуатации здания детского сада под учебно-воспитательные цели
1664	77:09:0001009:20	ул Фестивальная    (г Москва, ул Фестивальная, вл 39, корпус 3)	5504.00000000000	для осуществления воспитательно-образовательной деятельности
