№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
1965	Магазин	Россия, Москва, Севастопольский проспект, 14к1	Общество с ограниченной ответственностью "САНК-Р"	8101 ДПРУ	2008-09-19 04:00:00.0	2013-09-19 04:00:00.0	Действует
1966	Магазин	Россия, Москва, Якорная улица, 9	Общество с ограниченной ответственностью "БизнесГалант"	8253 ДПРУ	2008-10-16 04:00:00.0	2013-10-16 04:00:00.0	Действует
1967	Универсам	Россия, Москва, улица Маршала Полубоярова, 16к1	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12155 ДПРУ	2010-04-15 04:00:00.0	2015-04-15 04:00:00.0	Действует
1968	Магазин	Россия, Москва, Судостроительная улица, 43к1	Общество с ограниченной ответственностью "Круг"	10427 ДПРУ	2009-09-24 04:00:00.0	2014-09-24 04:00:00.0	Действует
1969	Кафе	Россия, Москва, Профсоюзная улица, 12	Общество с ограниченной ответственностью "ДЭЛИУЗ"	2228 ДПРУ	2006-09-13 04:00:00.0	2014-09-13 04:00:00.0	Действует
1970	Магазин	Россия, Москва, улица Кедрова, 7а	Общество с ограниченной ответственностью "МОРОЗКО"	884 ПРЗЮЗ	2005-08-14 04:00:00.0	2013-08-14 04:00:00.0	Действует
1971	Магазин	Россия, Москва, Нагатинская набережная, 40/1	Общество с ограниченной ответственностью "Литтер-Ойл"	4746 ДПРУ	2007-06-06 04:00:00.0	2017-06-06 04:00:00.0	Действует
1972	Магазин	Россия, Москва, район Печатники, Шоссейная улица, 21/9	Общество с ограниченной ответственностью "Фирма Луидор-ТМ"	693 ДТУ	2011-07-29 04:00:00.0	2014-07-29 04:00:00.0	Действует
1973	Магазин	Россия, Москва, Ленинский проспект, 77к1	Общество с ограниченной ответственностью Фирма "Московская пчела"	1252 ДТУ	2011-12-26 04:00:00.0	2016-12-26 04:00:00.0	Действует
1974	Склад-магазин	Россия, Москва, Рябиновая улица, 59	Общество с ограниченной ответственностью "МЕТРО Кэш энд Керри"	9595 ДПРУ	2009-06-06 04:00:00.0	2014-06-06 04:00:00.0	Действует
1975	Магазин	Россия, Москва, Тарханская улица, 3к2	Общество с ограниченной ответственностью "Лига"	186 ДТУ	2011-04-13 04:00:00.0	2014-04-13 04:00:00.0	Действует
1976	Магазин	Россия, Москва, улица Авиаконструктора Миля, 4к1	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	1611 ДПРУ	2006-07-28 04:00:00.0	2013-07-28 04:00:00.0	Действует
1977	Магазин	Россия, Москва, поселок Некрасовка, 2-я Вольская улица, 20	Общество с ограниченной ответственностью "Фирма "КАФРЕЗ"	11643 ДПРУ	2010-02-09 04:00:00.0	2015-02-09 04:00:00.0	Действует
1978	Ресторан	Россия, Москва, Люблинская улица, 40	Общество с ограниченной ответственностью "ЭЛАРА"	1064 ДТУ	2011-11-18 04:00:00.0	2014-11-18 04:00:00.0	Действует
1979	Магазин	Россия, Москва, улица Строителей, 7к1	Закрытое акционерное общество "Вегат Плюс"	7144 ДПРУ	2008-04-28 04:00:00.0	2013-04-28 04:00:00.0	Действует
1980	Ресторан	Россия, Москва, Ленинский проспект, 75а	Общество с ограниченной ответственностью "Производственно-торговое предприятие "ОДОЕВО"	8923 ДПРУ	2009-01-02 04:00:00.0	2014-01-02 04:00:00.0	Действует
1981	Магазин	Россия, Москва, Люблинская улица, 59	Общество с ограниченной ответственностью "БИЛЛА"	660 ДПРУ	2008-10-28 04:00:00.0	2014-05-05 04:00:00.0	Действует
1982	Бар	Россия, Москва, Люблинская улица, 59	Общество с ограниченной ответственностью "Босс"	11721 ДПРУ	2010-02-19 04:00:00.0	2013-02-19 04:00:00.0	Действует
1983	Кафе	Россия, Москва, Большая Черемушкинская улица, 13с1	Общество с ограниченной ответственностью "Уч-Кудук"	671 ПРЗЮЗ	2005-03-14 04:00:00.0	2013-03-14 04:00:00.0	Действует
1984	Бар	Россия, Москва, Волжский Бульвар квартал 114А, Волжский бульвар, 52/29с1	Общество с ограниченной ответственностью "МегаПул"	11496 ДПРУ	2010-01-22 04:00:00.0	2015-01-22 04:00:00.0	Действует
1985	Кафе	Россия, Москва, Волжский Бульвар квартал 114А, Волжский бульвар, 52/29с1	Общество с ограниченной ответственностью "КЛИО"	252 ДТУ	2011-04-21 04:00:00.0	2015-04-21 04:00:00.0	Действует
1986	Универсам	Россия, Москва, Мичуринский проспект, 44а	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	7755 ДПРУ	2008-08-05 04:00:00.0	2013-08-05 04:00:00.0	Действует
1987	Магазин	Россия, Москва, улица Артюхиной, 26а	Общество с ограниченной ответственностью "Фирма Букс"	11903 ДПРУ	2010-03-25 04:00:00.0	2015-03-25 04:00:00.0	Действует
1988	Ресторан	Россия, Москва, улица Вавилова, 39	Общество с ограниченной ответственностью "Монтенегро Фиш"	8215 ДПРУ	2008-10-10 04:00:00.0	2013-10-10 04:00:00.0	Действует
1989	Магазин	Россия, Москва, Ташкентская улица, 35	Общество с ограниченной ответственностью "КСЕНИЯ и М-2"	598 ДТУ	2011-07-05 04:00:00.0	2015-07-05 04:00:00.0	Действует
1990	Магазин	Россия, Москва, Волжский Бульвар квартал 114А, Волжский бульвар, 49	Общество с ограниченной ответственностью "УНИМАГ"	11654 ДПРУ	2010-02-10 04:00:00.0	2015-02-10 04:00:00.0	Действует
1991	Магазин	Россия, Москва, улица Артюхиной, 23	Общество с ограниченной ответственностью "РИАЛТОРГ"	1775 ДТУ	2012-05-16 04:00:00.0	2014-05-16 04:00:00.0	Действует
1992	Магазин	Россия, Москва, Привольная улица, 27к1	Общество с ограниченной ответственностью "ПРАЙМСТРИМ"	1906 ДТУ	2012-06-21 04:00:00.0	2013-06-21 04:00:00.0	Действует
1993	Кафе	Россия, Москва, Привольная улица, 27к1	Общество с ограниченной ответственностью "ТРОЯ"	10286 ДПРУ	2009-08-25 04:00:00.0	2014-08-25 04:00:00.0	Действует
1994	Магазин	Россия, Москва, Гагаринский район, Молодежная улица, 6	Общество с ограниченной ответственностью "КАЛИТОН"	1575 ДПРУ	2006-07-26 04:00:00.0	2014-07-26 04:00:00.0	Действует
1995	Кафе	Россия, Москва, Ленинский проспект, 70/11	Общество с ограниченной ответственностью "РК-ресурс"	11662 ДПРУ	2010-02-26 04:00:00.0	2013-02-26 04:00:00.0	Действует
1996	Кафе	Россия, Москва, Ленинский проспект, 70/11	Общество с ограниченной ответственностью "Кофе Хаус.Эспрессо и Капучино Бар"	1225 ДПРУ	2006-06-30 04:00:00.0	2014-06-30 04:00:00.0	Действует
