№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
1662	Лифты	Удальцова ул., д.89, к.2	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
1663	Лифты	Винницкая ул., д.9, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1664	Лифты	Вернадского просп., д.93	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1665	Лифты	Удальцова ул., д.89	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
1666	Лифты	Академика Анохина ул., д.12, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1667	Лифты	Академика Анохина ул., д.12, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1668	Лифты	Академика Анохина ул., д.38, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1669	Лифты	Академика Анохина ул., д.38, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1670	Лифты	Академика Варги ул. д.24	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1671	Лифты	Академика Варги ул. д.10	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1672	Подъемные платформы и работы по ММГН	Ленинский просп. д.135 к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1673	Лифты	Ленинский просп. д.135 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1674	Лифты	Ленинский просп. д.131 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1675	Лифты	Ленинский просп. д.135 к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1676	Лифты	Вернадского просп., д.125	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1677	Лифты	Вернадского просп., д.119	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1678	Лифты	Ленинский просп. д.123 к.1	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1679	Лифты	Бакинских Комиссаров 26-ти ул., д.7, к.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1680	Лифты	Бакинских Комиссаров 26-ти ул., д.7, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1681	Лифты	Бакинских Комиссаров 26-ти ул., д.7, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1682	Лифты	Тёплый Стан ул. д.25 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1683	Лифты	Тёплый Стан ул. д.6	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1684	Лифты	Бакинских Комиссаров 26-ти ул., д.12, к.3	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1685	Лифты	Бакинских Комиссаров 26-ти ул., д.12, к.4	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1686	Лифты	Бакинских Комиссаров 26-ти ул., д.12, к.5	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1687	Лифты	Бакинских Комиссаров 26-ти ул., д.8, к.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1688	Лифты	Бакинских Комиссаров 26-ти ул., д.10, к.6	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1689	Лифты	Бакинских Комиссаров 26-ти ул., д.8, к.6	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1690	Лифты	Бакинских Комиссаров 26-ти ул., д.2, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1691	Лифты	Бакинских Комиссаров 26-ти ул., д.4, к.4	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1692	Лифты	Вернадского просп., д.91, к.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
