name	url	id	source	theme
Платные парковки на улично-дорожной сети	http://data.mos.ru/datasets/623	623	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Площадки детские игровые	http://data.mos.ru/datasets/904	904	Департамент физической культуры и спорта города Москвы	Отдых
Площадки для городошного спорта	http://data.mos.ru/datasets/917	917	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Площадки для настольных игр	http://data.mos.ru/datasets/913	913	Департамент физической культуры и спорта города Москвы	Отдых
Площадки для пикника	http://data.mos.ru/datasets/912	912	Департамент физической культуры и спорта города Москвы	Отдых
Площадки для пляжных видов спорта	http://data.mos.ru/datasets/884	884	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Площадки пейнтбольные	http://data.mos.ru/datasets/895	895	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Площадки спортивные универсальные	http://data.mos.ru/datasets/893	893	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Поля для гольфа	http://data.mos.ru/datasets/883	883	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Поля для мини-гольфа	http://data.mos.ru/datasets/892	892	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Поля конно-спортивные для конкура и выездки	http://data.mos.ru/datasets/902	902	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Поля регбийные	http://data.mos.ru/datasets/885	885	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Поля футбольные	http://data.mos.ru/datasets/886	886	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Прогимназия	http://data.mos.ru/datasets/557	557	Департамент образования города Москвы	Образование
Продажа билетов на пригородные поезда	http://data.mos.ru/datasets/671	671	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Прокаты спортивного инвентаря (отдельностоящие)	http://data.mos.ru/datasets/887	887	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Психоневрологические интернаты	http://data.mos.ru/datasets/601	601	Департамент социальной защиты населения города Москвы	Социальная среда
Районные инженерные службы	http://data.mos.ru/datasets/500	500	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	Жилищно-коммунальное хозяйство
Расположение мест приема документов ДЗР	http://data.mos.ru/datasets/612	612	Департамент городского имущества города Москвы	Государственные услуги
Региональные ярмарки	http://data.mos.ru/datasets/653	653	Департамент торговли и услуг города Москвы	Торговля
Реестр искусственных неровностей	http://data.mos.ru/datasets/674	674	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Реестр образовательных учреждений. Дополнительное образование	http://data.mos.ru/datasets/746	746	Департамент образования города Москвы	Образование
