"0_ID";"1_Адрес";"1_Режим работы";"1_Доступность"
"163";"Славянский бульвар, д. 13, соор. 7";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"164";"Матвеевская ул., вл. 1Б";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"165";"Осенний бульвар, д. 14";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"166";"Ивана Франко ул., д. 12Б";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"167";"Крылатская ул., д. 2, стр. 22";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"168";"Мичуринский пр-т, Олимпийская дер., д. 4, к. 2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"169";"Площадь Победы, д. 3А";"С 8-00 до 24-00";"Приспособлен, бесплатный"
"170";"Площадь Победы, д. 3Г";"С 8-00 до 21-00";"Приспособлен, бесплатный"
"171";"Косыгина ул., вл. 29";"С 8-00 до 22-00";"Приспособлен, бесплатный"
"172";"Барклая ул., д. 7, корп. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"173";"ул. Матросская Тишина, д. 14, стр. 2";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"174";"ул. Крымский Вал, д. 10, стр. Б";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"175";"ул. Солянка, д. 16";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"176";"ул. Плещеева, д. 1А";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"177";"Гостиничный пр-д, вл. 14";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"178";"ул. Каховка, ст. м.";;
"179";"ул. Песчаная, д. 10, стр. 13";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"180";"ул. Булатниковская, вл. 2Г";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"181";"Измайловское ш., д. 69Д, соор. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"182";"1-й Труженников пер., д. 8";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"183";"Зеленый пр-т, вл. 105";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"184";"Бульвар Маршала Рокоссовского, вл. 31";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"185";"ул. Байкальская, д. 35";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"186";"ул. Сретенка, д. 27/29";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"187";"Б. Толмачевский пер., вл. 3";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"188";"Ангарская ул., д. 42, стр. 2";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"189";"Ленинградский пр-т, д. 36, стр. 59";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"190";"Куусинена ул., д. 17, корп. 2";"С 8-00 до 16-00";"Не приспособлен, бесплатный"
"191";"Тимирязевская ул., д. 17А, стр. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"192";"Вятская ул., д. 39, стр. 2";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"193";"Куусинена ул., д. 8Б, стр. 1";"С 8-00 до 16-00";"Не приспособлен, бесплатный"
"194";"Новопетровская ул., д.6 А";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"195";"Дубки ул., д. 6, стр. 2";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"196";"Бескудниковский бульвар, д. 36, к. 4, стр. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"197";"1-й Боткинский пр-д, д. 2, стр. 1";"С 8-00 до 18-00";"Приспособлен, бесплатный"
"198";"Новопесчаная ул., д. 12, стр. 4";"С 8-00 до 18-00";"Приспособлен, бесплатный"
"199";"Михалковская ул., д. 28";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"200";"Дубнинская ул., д. 12, соор. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
