№ строки	Вид ППТ	Вид распорядительного документа	Номер распорядительного документа	Дата распорядительного документа
268	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	367	2009-04-28 04:00:00.0
269	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	1175	2001-12-25 04:00:00.0
270	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	1324	2009-12-01 04:00:00.0
271	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	296	2010-04-13 04:00:00.0
272	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	7	2012-01-17 04:00:00.0
273	Проекты планировки жилых территорий	Постановление Правительства Москвы	1089	2008-12-02 04:00:00.0
274	Проекты планировки общественных территорий	Постановление Правительства Москвы	169	2012-04-20 04:00:00.0
275	Проекты планировки общественных территорий	Постановление Правительства Москвы	197	2012-05-15 04:00:00.0
276	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	624-ПП	2012-11-06 04:00:00.0
277	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	630-ПП	2012-11-07 04:00:00.0
278	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	631-ПП	2012-11-07 04:00:00.0
279	Производственные территории (реорганизуемые с изменением назначения)	Постановление Правительства Москвы	641-ПП	2012-11-13 04:00:00.0
280	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	647-ПП	2012-11-13 04:00:00.0
281	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	661-ПП	2012-11-20 04:00:00.0
282	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	680-ПП	2012-11-27 04:00:00.0
283	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	770-ПП	2012-12-19 04:00:00.0
284	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	771-ПП	2012-12-19 04:00:00.0
285	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	772-ПП	2012-12-19 04:00:00.0
286	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	773-ПП	2012-12-19 04:00:00.0
287	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	774-ПП	2012-12-19 04:00:00.0
