1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
434м;"Нагорный бульвар - ст.м.""""Университет""""";"Нагорный бульвар - Нагорная улица - Ремизова улица - Дмитрия Ульянова улица - ст.м.""""Академическая"""" - Дмитрия Ульянова улица - Ленинский проспект - Ломоносовский проспект -ст.м.""""Университет""""";6;6;10;11,2;М2 класс В;7.00 / 7.30;22.30 / 22.00;"ООО """"БЕТТА-АВТОТРАНС""""";;
435м;"Ул.Псковская - ст.м.""""Алтуфьево""""";"Прямой маршрут: Псковская улица - Зональная улица - Молокова улица - Череповецкая улица - ст.м.""""Алтуфьево""""                                                                                             Обратный маршрут: Ст.м.""""Алтуфьево"""" - Череповецкая улица - Псковская улица";3;5;15;6,2;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
436м;"ст.м.""""Семеновская"""" - ст.м.""""Шоссе Энтузиастов""""";"ст.м.""""Семеновская"""" - просп.Буденного  - ш.Энтузиастов - ул.Электродная - 3-й Плехановский пер. - ул.Плеханова - ст.м.""""Ш.Энтузиастов""""";4;5;15;20,2;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
438м;"ст.м.""""Проспект Вернадского"""" - ст.м.""""Профсоюзная""""";"ст.м.""""Просп. Вернадского"""" - Вернадского проспект - Кравченко улица (обратно: Удальцова улица) - Ленинский проспект - Гарибальди улица - Вавилова улица - Нахимовский проспект - ст.м.""""Профсоюзная""""";8;4;12;11,4;М2 класс В;6.30 / 7.00;22.30 / 22.00;"ООО """"БЕТТА-АВТОТРАНС""""";;
439м;"ст.м.""""Шаболовская""""- ул.Бол.Черёмушкинская";"ст.м.""""Шаболовская""""- ул. Шаболовка - ул.Серпуховской вал - 4-й Рощинский пр. -                                                                                                           3-й Рощинский пр. - ул.Мал.Тульская - Загородное ш.- ул.Бол.Черемушкинская (пересечение с ул.Дм.Ульянова)";5;5;10;5;М2 класс В;6.30 /  7.00;22.30 /  22.00;"ООО """"Орбита XXI век""""";;
440м;"ст.м.""""Сходненская"""" - ул.Дубравная";"ст.м.""""Сходненская"""" - Героев Панфиловцев улица - Саломеи Нерис улица - Путилковское шоссе - 1-й Митинский переулок - Пятницкое шоссе - Дубравная улица";5;6;15;14,2;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ООО """"Такси 17""""";;
441м;"4-й мкр.Митино - ст.м.""""Молодежная""""";"4-й мкр.Митино - Пятницкое шоссе - Митинская улица - 1-й Митинский переулок - Пятницкое шоссе - Московская кольцевая автомобильная дорога - Рублевское шоссе  - Ярцевская улица - ст.м.""""Молодежная""""";10;9;15;36,8;М2 класс В;7.00 / 7.30;23.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
442м;"Ст.м.""""Полежаевская"""" - 1-й Силикатный пр.";"Ст.м.""""Полежаевская"""" - 4-я Магистральная улица - 1-я Магистральная улица - 2-я Магистральная улица - 1-й Силикатный проезд";4;5;15;8,5;М2 класс В;7.00 / 7.30;23.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
443м;Улица Нижняя Хохловка -  Васильцовский Стан;"Нижняя Хохловка улица - Рязанский проспект - ст.м.""""Рязанский проспект"""" - Сормовская улица - Ферганская улица -Ташкентская улица - Чугунные ворота улица - Академика Скрябина улица - Волгоградский проспект - ст.м.""""Кузьминки"""" - Окская улица - Волжский бульвар - Васильцовский переулок (обратно: Окская улица - Жигулевская улица - Волгоградский проспект - Ташкентская улица) - Васильцовский Стан";14;5;15;27,6;М2 класс В;6.30 / 7.00;22.00 / 21.30;"ООО """"Автократ""""";;
444м;"ст.м.""""Новослободская""""  - ул.Образцова";"ст.м.Новослободская - ст.м.""""Меделеевская"""" - ул.Тихвинская - Минаевский пр. - ДК МИИТ - ул.Образцова";5;5;10;7;М2 класс В;7.00 / 7.30;23.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
445м;"Ст.м.""""Сокольники"""" - Комсомольская пл.";"Ст.м.""""Сокольники"""" - Сокольническая площадь - Сокольнический Вал улица - Шумкина улица - Маленковская улица - Русаковская улица - Краснопрудная улица - Комсомольская площадь";6;3;10;8,4;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
446м;"Щукино - ст.м.""""Полежаевская""""";"Щукино - Авиационная улица - Новощукинская улица - ст.м.""""Щукинская"""" - Маршала Василевского улица - Маршала Бирюзова улица - ст.м.""""Октябрьское поле"""" - Народного Ополчения улица - Мневники улица - Хорошевское шоссе -ст.м.""""Полежаевская""""";8;5;15;18,1;М2 класс В;7.00 / 7.30;23.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
