1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
497м;"ст.м.""""Проспект Вернадского"""" - ул.Скульп. Мухиной";"ст.м.""""Просп.Вернадского"""" - Вернадского проспект - Лобачевского улица - Мичуринский проспект (обратно: Покрышкина улица - Никулинская улица) - Боровское шоссе - Чоботовская улица - Скульп.Мухиной улица";10;6;15;27,5;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
498м;"платф.Очаково - ст.м.""""Пионерская""""";"платф.""""Очаково"""" - Стройкомбината проезд - Очаковское шоссе - Аминьевское шоссе - Рублевское шоссе - Кастанаевская улица (обратно: Малая Филевская улица) - ст.м.""""Пионерская""""";8;5;15;16,1;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
501м;"ст.м.""""Каширская"""" - Наташинский пр.";"ст.м.""""Каширская"""" - Каширское шоссе - Борисовские пруды улица - Хордовый проезд - Братеевский проезд - Наташинский проезд                                           Обратно: Наташинский проезд - Борисовские пруды улица - Каширское шоссе - ст.м.""""Каширская""""";3;12;20;15,2;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"ТК Стройтехника""""";;
502м;"ст.м.""""Выхино"""" - Новокосинская улица";"ст.м.""""Выхино"""" - Кр.Казанец улица - Вешняковская улица - Старый Гай улица - Кетчерская улица - Носовихинское шоссе - Городецкая улица - Новокосинская улица (мкр.Новокосино). Обратно: Н.Старостина улица - МКАД - Молдагуловой улица - Вешняковская улица";10;4;10;11,6;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа Автолайн"""" / ООО """"С-Двиг""""";;
504м;"ст.м.""""Юго-Западная"""" - ст.м.""""Калужская""""";"ст.м.""""Юго-Западная"""" - 26 Бакинских комиссаров улица - Миклухо-Маклая улица - Введенского улица - Научный проезд - Хлебобулочный проезд - ст.м.""""Калужская""""";8;5;15;15,2;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
505м;"ст.м.""""Новогиреево"""" - ул.Чечулина";"ст.м.""""Новогиреево"""" - Свободный проспект - Бол.Купавенский проезд - Челябинская улица - Малый Купавенский проезд - Чечулина улица";5;4;10;8,5;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"С-Двиг""""";;
506м;ул.Веерная - Киевский вкз.;ул.Веерная - ул.Матвеевская - Аквадром - Аминьевское ш. - Кутузовский просп. - Киевский вкз.;10;5;10;8;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
507м;"ст.м.""""Кузьминки"""" - ул.Маршала Полубоярова";"ст.м.""""Кузьминки"""" - Волгоградский проспект - Новорязанское шоссе - Маршала Полубоярова улица - Привольная улица - Ген.Кузнецова улица - Маршала Полубоярова улица";12;8;15;18,6;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"С-Двиг""""";;
509м;"Ул.Беловежская - ст.м.""""Молодежная""""";"Беловежская улица (95 кв-л Кунцево) - Вяземская улица - Сколковское шоссе (обратный маршрут) - Можайское шоссе - Аминьевское шоссе - Рублевское шоссе - Рублевское шоссе дублер (прямой маршрут) - ст.м.""""Кунцевская"""" - Малая Филевская улица (прямой маршрут) - Молдавская улица - Молодогвардейская улица - Ельнинская улица - ст.м.""""Молодежная""""";10;5;10;17,3;М2 класс В;7.00 / 8.00;20.00 / 19.00;ЗАО Транспортная фирма Очаково;;
510м;"ст.м.""""Юго- Западная"""" - ул. Ленина, д.73 (пос. Толстопальцево) - пос.Кокошкино";"ст.м.""""Юго-Западная"""" - Вернадского проспект - Тропаревская улица - Никулинская улица - Озерная улица - Боровское шоссе (боковой проезд) - Боровское шоссе - пос.Толстопальцево: Советская улица - Центральная улица - Ленина улица (только в прямом направлении) - Ленина улица, д.73 (разворот только в прямом направлении) - Ленина улица (только в прямом направлении) - Учительская улица - пос.Кокошкино";15;8;15;54,6;М3 класс I;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
511м;"ст.м.""""Красногвардейская"""" - ТЦ """"Москва""""";"ст.м.""""Красногвардейская"""" - Мусы Джалиля улица - Братеевская улица - Хордовый проезд - Люблинская улица - ст.м.""""Марьино"""" - Перерва улица - ст.м.""""Братиславская"""" - Белореченская улица - Краснодарская улица - Перерва улица - ТЦ """"Москва""""";8;6;15;20,3;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ЗАО """"Эвромекс-транс""""";;
512м;"ст.м.""""Марьино"""" - ул.Братеевская";"ст.м.""""Марьино"""" - Новочеркасский бульвар (обратно: проезд вдоль Люблинской улицы - Новомарьинская улица) - Люблинская улица - Хордовый проезд - Братеевская улица - Ключевая улица - Братеевская улица";4;7;15;9,7;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"С-Двиг""""";;
513м;"платф.Перерва - ТЦ """"Москва""""";"платф.Перерва - Иловайская улица - Нижние Поля улица - Донецкая улица - Новочеркасский бульвар - Люблинская улица - ст.м.""""Марьино"""" - Верхние Поля улица - Новороссийская улица - Совхозная улица - ст.м.""""Люблино"""" - Краснодарская улица - Перерва улица - ТЦ """"Москва""""";6;7;15;20,1;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Альфа-Транс XXI век""""";;
