"0_ID";"1_Наименование";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Округ";"1_Район";"0_UNOM";"0_Площадь";"0_Собственник_СО";"1_Собственник"
"000007733";"Сезонное летнее кафе при стационарном предприятии; Вешняковская ул. 12А";"Вешняковская ул. 12А";"Вешняковская ул. 12А";"37,826988";"55,734783";;;;;;"ВАО";"Вешняки";"2 122 163";"72";"ТЮКУЛЬ";"Тюкуль"
"000007734";"Сезонное летнее кафе при стационарном предприятии; Снайперская ул., 9";"Снайперская ул. 9";"Снайперская ул. 9";"37,81347";"55,721715";;;;;;"ВАО";"Вешняки";"2 122 160";"60";"Сластена-1";"СЛАСТЕНА-1"
"000007735";"Сезонное летнее кафе при стационарном предприятии; Снайперская ул., 8Б";"Снайперская ул. 8Б";"Снайперская ул. 8Б";"37,810391";"55,722748";;;;;;"ВАО";"Вешняки";"2 122 169";"120";"ГРИСС";"ГРИСС"
"000007736";"Сезонное летнее кафе при стационарном предприятии; Первомайская ул., 86/18";"Первомайская ул. 86/18";"Первомайская ул. 86/18";"37,8058049999999";"55,793012999";;;;;;"ВАО";"Восточное Измайлово";"19 201";"140";"КАФЕ ""Тако""";"ПОЛИФОРМ АКТИВ"
"000007737";"Сезонное летнее кафе при стационарном предприятии; Первомайская ул., 106А";"Первомайская ул. 106А";"Первомайская ул. 106А";"37,8130489999999";"55,793192";;;;;;"ВАО";"Восточное Измайлово";"2 502 221";"120";"КАФЕ";"ТЭЙСТИ ЛЭНД"
"000007738";"Сезонное летнее кафе при стационарном предприятии; 15-я Парковая ул., 27";"15-я Парковая ул. 27";"15-я Парковая ул. 27";"37,818598";"55,79852";;;;;;"ВАО";"Восточное Измайлово";"2 116 266";"30";"КАФЕ-БАР ПАРК АВЕНЮ";"ППК"
"000007739";"Сезонное кафе при стационарном предприятии на Щелковское ш., вл. 33";"Щёлковское шоссе 33";"Щёлковское шоссе 33";"37,783016";"55,810043";;;;;;"ВАО";"Гольяново";"29 904";"86";"ТАНУКИ";"Альянс"
"000007740";"Сезонное кафе при стационарном предприятии на Уральская ул, вл. 5А";"Уральская ул. 5А";"Уральская ул. 5А";"37,797856999";"55,813575";;;;;;"ВАО";"Гольяново";"2 111 029";"114";"НОВЫЕ САЯНЫ";"Новые Саяны"
"000007741";"Сезонное кафе при стационарном предприятии на Хабаровская ул., вл. 10/30";"Хабаровская ул. 10/30";"Хабаровская ул. 10/30";"37,827254";"55,819826";;;;;;"ВАО";"Гольяново";"64 027";"40";"ТРИНЭС";"ТРИНЭС"
"000007742";"Сезонное кафе при стацинарном предприятии на Амурская ул., вл. 12А";"Амурская ул. 12А";"Амурская ул. 12А";"37,76353";"55,8084029999999";;;;;;"ВАО";"Гольяново";"2 402 280";"100";"БАЗИС";"Базис"
"000007743";"Сезонное кафе при стационарном предприятии на Щелковское ш., вл. 9";"Щёлковское шоссе 9";"Щёлковское шоссе 9";"37,759456";"55,8050349999999";;;;;;"ВАО";"Гольяново";"29 883";"20";"КАНТИНА";"КАНТИНА ""Вкус Востока"""
"000007744";"Сезонное кафе при стационарном предприятии на Уральская ул., вл. 17";"Уральская ул. 17";"Уральская ул. 17";"37,797382";"55,819844999";;;;;;"ВАО";"Гольяново";"26 826";"40";"Салон красоты ЕВРОСТИЛЬ";"ЕВРОСТИЛЬ"
"000007745";"Сезонное кафе при стационарном предприятии на Щелковское ш., вл. 3, стр. 1";"Щёлковское шоссе 3 с. 1";"Щёлковское шоссе 3 с. 1";"37,753458";"55,803486";;;;;;"ВАО";"Гольяново";"2 115 185";"48";"УДАЧА+";"Удача+"
