"0_Код объекта";"1_Наименование объекта";"1_Адрес объекта";"0_Координата X";"0_Координата Y";"1_Округ";"1_Район";"1_Вид объекта";"1_Период размещения";"1_Дата начала срока размещения";"1_Дата окончания срока размещения";"1_Номер свидетельства";"1_Дата выдачи свидетельства";"1_Специализация"
"000003936";"хлеб на Кутузовский пр-т, вл.22";"Кутузовский просп. 22";"37,548489";"55,745852";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000463";"07.10.2011";"Хлеб"
"000003937";"Овощи, фрукты на Кутузовский пр-т, вл.22";"Кутузовский просп. 22";"37,548477";"55,745833";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000464";"07.10.2011";"Овощи и фрукты"
"000003938";"мороженое на Кутузовский пр-т, вл.29/2";"Кутузовский просп. 22";"37,544532";"55,74336";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"15.09.2011";"31.12.2014";"805-000465";"07.10.2011";"Мороженое"
"000003939";"молоко на Пл.Победы, вл.2";"пл. Победы 2 к. 3";"37,520117";"55,738111";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"08.09.2011";"31.12.2014";"805-000466";"07.10.2011";"Молоко"
"000003940";"Овощи, фрукты на Пл.Победы, вл.2";"пл. Победы 2 к. 3";"37,520186";"55,738094";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"12.09.2011";"31.12.2014";"805-000467";"07.10.2011";"Овощи и фрукты"
"000003941";"Молоко на пл.Победы, вл.1";"пл. Победы 1 к. Е";"37,521573";"55,73577";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"08.09.2011";"31.12.2014";"805-000468";"07.10.2011";"Молоко"
"000003942";"Хлеб на пл.Победы, вл.1";"пл. Победы 1 к. Е";"37,521624";"55,735792";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"12.09.2011";"31.12.2014";"805-000469";"07.10.2011";"Хлеб"
"000003943";"Овощи, фрукты на пл.Победы, вл.1";"пл. Победы 1 к. Е";"37,521724";"55,735784";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"09.09.2011";"31.12.2014";"805-000470";"07.10.2011";"Овощи и фрукты"
"000003944";"Хлеб на Кутузовский пр-т  вл. 35";"Кутузовский просп. 35";"37,538256999";"55,740316";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000471";"07.10.2011";"Хлеб"
"000003945";"Молоко на Кутузовский пр-т  вл. 35";"Кутузовский просп. 35";"37,538286";"55,740307";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000472";"07.10.2011";"Молоко"
