0_OBJECTID;0_UIDNFTN;1_Наименование объекта;0_Географические координаты Х;0_Географические координаты Y;1_Описание местоположения;1_Количество мест;1_Ведомственная принадлежность;1_Наименование эксплуатирующей организации;1_Телефон эксплуатирующей организации
42;76;"Велосипедная парковка №21138 ""Рождественка, 1""";7870,3356;10403,122;Вблизи д. 1 по ул.Рождественка. Парковка расположена в офисно-деловом и туристическом районе;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
43;77;"Велосипедная парковка №21139 ""Метро Библиотеки им.Ленина""";6948,9934;9444,0892;Парковка перед зданием Библиотеки им.Ленина, около выхода из метро;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
44;78;"Велосипедная парковка №21141 ""Сад Эрмитаж""";7046,1312;11548,5138;Сад Эрмитаж Сад Эрмитаж, театры;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
45;79;"Велосипедная парковка №21142 ""Садовая-Самотечная, 1""";7164,8222;11893,849;ул. Садовая-Самотечная, 1. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
46;80;"Велосипедная парковка №21146 ""Серебряническая набережная, 29""";9787,4971;9304,701;Серебряническая набережная, 29. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
47;81;"Велосипедная парковка №21150 ""Сретенка, 29""";8313,6597;11684,3088;Ул. Сретенка, 29.  Рядом с Московским Городским Психолого-Педагогическим университетом;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
48;82;"Велосипедная парковка №21152 ""Петровка, 11""";7436,7031;10680,7186;Вблизи д.11, ул. Петровка. Парковка на пешеходной улице;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
1;32;"Велосипедная парковка №21048 ""Нижняя Радищевская, напротив д. 2""";9632,3528;8458,1991;Напротив д 2 по Нижняя Радищевская улице. Рядом Дом Русского Зарубежья им. Александра Солженицына;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
2;33;"Велосипедная парковка №21051 ""Житная, 14с1""";7361,0578;7073,2774;Житная ул. 14С1 Минюст;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
3;34;"Велосипедная парковка №21052 ""Житная, 16""";7229,0151;7139,8632;Житная ул. 16 МВД;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
4;35;"Велосипедная парковка №21053 ""Земляной Вал, 59/2с1""";9982,8701;9100,5111;улица Земляной Вал, 59/2, стр. 1. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
5;36;"Велосипедная парковка №21054 ""Зубовский бульвар, 4с1""";5757,9819;7861,4135;Зубовский бульвар 4С1  Бизнес-Центр;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
6;37;"Велосипедная парковка №21062 ""Тверская, 6с7""";7186,1466;10346,2955;Вблизи д.6с7 по ул. Тверская. Парковка на пешеходной улице;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
7;38;"Велосипедная парковка №21063 ""Площадь Цезаря Кунникова""";9840,7184;10785,6046;Площадь Цезаря Кунникова. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
8;39;"Велосипедная парковка №21064 ""Новый Арбат, 24""";5605,07;9586,9398;Новый Арбат, 24 Кинотеатр Октябрь;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
9;40;"Велосипедная парковка №21065 ""Серафимовича, 2к8""";7295,9161;8487,1464;Ул. Серафимовича 2К8 Кинотеатр Ударник;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
10;1;"Велосипедная парковка №11001 ""Метро Арбатская, Арбатско-Покровской линии""";6628,6234;9532,6712;Парковка около метро Арбатская Арбатско-Покровской линии метрополитена;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
11;2;"Велосипедная парковка №11002 ""Метро Арбатская,  Филевской линии""";6434,0854;9454,4507;Парковка около метро Арбатская  Филевской линии метрополитена;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
12;3;"Велосипедная парковка №11006 ""Метро Боровицкая""";6974,3365;9299,3908;Парковка рядом с метро Боровицкая;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
13;4;"Велосипедная парковка №11015 ""Метро Кузнецкий мост""";7889,0702;10458,8238;Парковка вблизи метро Кузнецкий мост;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
14;5;"Велосипедная парковка №11024 ""Большая Якиманка""";7154,0003;6905,9354;ул. Большая Якиманка, м. Октябрьская Метро Октбярьская;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
15;6;"Велосипедная парковка №11045 ""Трубная площадь""";7756,0726;11126,6131;Трубная площадь. Рядом с метро Трубная;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
16;7;"Велосипедная парковка №11046 ""Сретенский бульвар, напротив  д. 11""";8672,4988;11117,1752;Сретенский бульвар, напротив  д. 11. Рядом с метро Тургеневская;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
17;8;"Велосипедная парковка №11050 ""Цветной бульвар, 17""";7661,0004;11660,8675;Цветной бульвар, 17 Метро «Цветной бульвар».;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
18;9;"Велосипедная парковка №11052 ""Площадь Мясницкие ворота, 1с3""";8798,4538;10905,8824;Площадь Мясницкие ворота 1с3. Рядом с метро Чистые пруды;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
19;10;"Велосипедная парковка №21001 ""2-й Зачатьевский переулок, 5с3""";6391,9626;8174,0167;2-й Зачатьевский переулок, 5с3. Монастырь, Жилые районы;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
20;11;"Велосипедная парковка №21004 ""Проспект Академика Сахарова, 10""";9023,5664;11329,417;просп. Академика Сахарова, 10. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
