0_ID;1_Вид транспорта;1_Наименование проездного докумета;1_Стоимость проездного документа;1_Срок действия проездного докумета;0_Использование транспортного приложения к банковской карте
43;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 6 поездок в течение календарного месяца;156.0;С момента изготовления на срок действия банковской карты;1
47;Московско-Тверская пригородная пассажирская компания;Билет. 7 дат;240.0;1 месяц;1
48;Московско-Тверская пригородная пассажирская компания;Билет. 8 дат;270.0;1 месяц;1
52;Московско-Тверская пригородная пассажирская компания;Билет. 12 дат;410.0;1 месяц;1
53;Московско-Тверская пригородная пассажирская компания;Билет. 13 дат;440.0;1 месяц;1
57;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 10 поездок в течение календарного месяца;260.0;С момента изготовления на срок действия банковской карты;1
58;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 11 поездок в течение календарного месяца;286.0;С момента изготовления на срок действия банковской карты;1
62;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 15 поездок в течение календарного месяца;390.0;С момента изготовления на срок действия банковской карты;1
63;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 16 поездок в течение календарного месяца;416.0;С момента изготовления на срок действия банковской карты;1
67;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 20 поездок в течение календарного месяца;520.0;С момента изготовления на срок действия банковской карты;1
68;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 21 поездка в течение календарного месяца;546.0;С момента изготовления на срок действия банковской карты;1
72;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 25 поездок в течение календарного месяца;650.0;С момента изготовления на срок действия банковской карты;1
73;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 26 поездок в течение календарного месяца;676.0;С момента изготовления на срок действия банковской карты;1
77;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 30 поездок в течение календарного месяца;780.0;С момента изготовления на срок действия банковской карты;1
78;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 31 поездка в течение календарного месяца;806.0;С момента изготовления на срок действия банковской карты;1
