0_OBJECTID;0_UIDNFTN;0_NAME;1_Адрес;0_X;0_Y;1_Число парковочных мест;1_Время работы;1_Иное
152;2;Стоянка легкового такси;Солнцевский проспект, 4;37,397482;55,652783;3;Круглосуточно;
153;134;Стоянка легкового такси;Народного Ополчения, д.46, корп.1;37,49410196;55,79300042;4;Круглосуточно;
154;138;Стоянка легкового такси;Героев Панфиловцев ул., 1А;37,43866568;55,8512124;3;Круглосуточно;
155;51;Стоянка легкового такси;Зеленый проспект, д. 22;37,788489;55,75107;3;Круглосуточно;
156;174;Стоянка легкового такси;Хорошевское шоссе, д.1;37,544121;55,773568;4;Круглосуточно;
157;177;Стоянка легкового такси;Хорошевское шоссе, д.37;37,516826;55,777164;2;Круглосуточно;
158;182;Стоянка легкового такси;Коровинское шоссе, 23;37,523435;55,877441;3;Круглосуточно;
159;183;Стоянка легкового такси;Коровинское шоссе, 16;37,527276;55,874589;3;Круглосуточно;
160;184;Стоянка легкового такси;Михалковская улица, д.4;37,537726;55,83688;3;Круглосуточно;
161;63;Стоянка легкового такси;Свободный пр-т, д. 19;37,82063506;55,75974265;2;Круглосуточно;
162;199;Стоянка легкового такси;Улица Генерала Кузнецова, д.16, к.1;37,858041;55,68786448;5;Круглосуточно;
163;64;Стоянка легкового такси;Свободный пр-т, д. 33А;37,8181431;55,75332068;4;Круглосуточно;
164;65;Стоянка легкового такси;Первомайская, д. 93/20;37,80692094;55,79346093;4;Круглосуточно;
165;80;Стоянка легкового такси;Кусковская ул., 2А;37,766018;55,737392;5;Круглосуточно;
166;82;Стоянка легкового такси;Суздальская ул., 24;37,856312;55,742115;4;Круглосуточно;
167;68;Стоянка легкового такси;9-я Парковая;37,79989653;55,7941471;4;Круглосуточно;
168;69;Стоянка легкового такси;Проспект Буденного, д. 18Б;37,729872;55,767657;5;Круглосуточно;
