0_OBJECTID;0_UIDNFTN;1_Кадастровый номер;1_Адрес;1_Площадь;0_ZPO;1_Разрешение на использование
620;25230635;77:05:0012003:13;ул Паромная (г Москва, ул Паромная, вл 5, корпус 3);12576; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
621;25322415;77:08:0010010:18;ул Саляма Адиля (г. Москва, ул. Саляма Адиля, вл. 11, корп. 1);3430; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА.
622;25389163;77:07:0015005:140;ул Чоботовская (г Москва, ул Чоботовская, вл 8);13713; ;дальнейшей эксплуатации здания школы под учебно-воспитательные цели
623;25389470;77:09:0003021:159;ул Вучетича (г Москва, ул Вучетича, вл 7Б);6183; ;осуществления медицинской деятельности
624;25389158;77:07:0013006:146;ул Удальцова (г Москва, ул Удальцова, вл 75);8824; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
625;25321785;77:07:0015002:59;ул Наро-Фоминская (г Москва, ул Наро-Фоминская, вл 1);12017; ;ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 1000
626;25320097;77:05:0003005:69;ул Артековская (г Москва, ул Артековская, вл 11);52400; ;эксплуатация здания школы с прилегающим земельным участком (земельные участки, предназначенные для размещения объектов образования)
627;25406642;77:02:0002012:73;ул Коненкова (г. Москва, ул. Коненкова, вл. 12Б);9362; ;использования территории и эксплуатации здания дошкольного учреждения
628;25406474;77:02:0002006:23;ул Корнейчука (г Москва, ул Корнейчука, вл 40а);8656; ;эксплуатации здания лечебно-профилактического учреждения
629;25367636;77:09:0003001:52;ул Лихоборские Бугры (г Москва, ул Лихоборские Бугры, вл 6А);9092; ;ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
630;25367695;77:09:0003016:75;пер Новоподмосковный 4-й (г Москва, пер 4-й Новоподмосковный, вл 2А);3438; ;эксплуатации общеобразовательной школы
631;25363290;77:03:0004003:16;ул Щербаковская (г Москва, ул Щербаковская, вл 36 А);14366; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
632;25367540;77:09:0002007:49;ул Дубнинская (г Москва, ул Дубнинская, вл 34, корпус 2);9338; ;эксплуатации детских яслей-сада
633;25350606;77:08:0010011:4;наб КАРАМЫШЕВСКАЯ (г Москва, наб Карамышевская, вл 38);12492; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ-ИНТЕРНАТА
634;25350242;77:06:0009005:5;ул Вильнюсская (г Москва, ул Вильнюсская, вл 14);15603; ;эксплуатации имущественного комплекса школы № 108 без права изменения функционального назначения
635;25350165;77:08:0004010:6;ул Свободы (г Москва, ул Свободы, вл 40);5321; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 1600
636;25320392;77:05:0008004:43;ул Чертановская (г Москва, ул Чертановская, вл 56А);6928; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ И СООРУЖЕНИЙ ДОМА РЕБЕНКА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
637;25319750;77:04:0004010:40;ул Люблинская (г Москва, ул Люблинская, вл 131);12079; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
638;25298306;77:03:0005023:149;аллея Первомайская (г Москва, аллея Первомайская, вл 2, стр 1-10);49419; ;"эксплуатации учебно-спортивной базы ""Измайлово"" Московского городского физкультурно-спортивного объединения"
