0_Код;Название;Адрес;Число парковочных мест;Время работы;Стоимость
220;Парковка №7 (Зона 1005);Рождественка улица,20;7;Круглосуточно;50 рублей в час
221;Парковка №10 (Зона 1005);Рождественка улица,20к1;7;Круглосуточно;50 рублей в час
222;Парковка №15 (Зона 1005);Большой Кисельный переулок,11;9;Круглосуточно;50 рублей в час
223;Парковка №16 (Зона 1005);Большой Кисельный переулок,14;5;Круглосуточно;50 рублей в час
224;Парковка №17 (Зона 1005);Большой Кисельный переулок,15;8;Круглосуточно;50 рублей в час
225;Парковка №18 (Зона 1005);Варсонофьевский переулок,12/9;5;Круглосуточно;50 рублей в час
226;Парковка №19 (Зона 1005);Варсонофьевский переулок,10;5;Круглосуточно;50 рублей в час
227;Парковка №20 (Зона 1005);Варсонофьевский переулок,6;8;Круглосуточно;50 рублей в час
228;Парковка №21 (Зона 1005);Варсонофьевский переулок,4;4;Круглосуточно;50 рублей в час
229;Парковка №22 (Зона 1005);Варсонофьевский переулок,4;7;Круглосуточно;50 рублей в час
230;Парковка №1 (Зона 1005);Варсонофьевский переулок,7/5;6;Круглосуточно;50 рублей в час
231;Парковка №3 (Зона 1005);Пушечная улица,2;10;Круглосуточно;50 рублей в час
232;Парковка №23 (Зона 1005);Пушечная улица,7/5;7;Круглосуточно;50 рублей в час
233;Парковка №4 (Зона 1005);Пушечная улица,4;19;Круглосуточно;50 рублей в час
234;Парковка №24 (Зона 1005);Пушечная улица,7с2;2;Круглосуточно;50 рублей в час
235;Парковка №25 (Зона 1005);Пушечная улица,5;6;Круглосуточно;50 рублей в час
236;Парковка №27 (Зона 1005);Звонарский переулок,15;3;Круглосуточно;50 рублей в час
237;Парковка №29 (Зона 1005);Звонарский переулок,7;6;Круглосуточно;50 рублей в час
238;Парковка №30 (Зона 1005);Звонарский переулок,6;3;Круглосуточно;50 рублей в час
239;Парковка №31 (Зона 1005);Сандуновский переулок,5;8;Круглосуточно;50 рублей в час
240;Парковка №121(Зона 1004);Большая Дмитровка улица,6/2;5;Круглосуточно;50 рублей в час
241;Парковка №122 (Зона 1004);Большая Дмитровка улица,1;6;Круглосуточно;50 рублей в час
242;Парковка №123 (Зона 1004);Большая Дмитровка улица,4/2;4;Круглосуточно;50 рублей в час
243;Парковка №124 (Зона 1004);Большая Дмитровка улица,4;6;Круглосуточно;50 рублей в час
244;Парковка №125 (Зона 1004);Большая Дмитровка улица,2;6;Круглосуточно;50 рублей в час
245;Парковка №126 (Зона 1004);Рахмановский переулок,4с2;9;Круглосуточно;50 рублей в час
246;Парковка №134 (Зона 1004);Неглинная улица,11;12;Круглосуточно;50 рублей в час
247;Парковка №137 (Зона 1004);Неглинная улица,2;4;Круглосуточно;50 рублей в час
248;Парковка №138 (Зона 1004);Неглинная улица,2;4;Круглосуточно;50 рублей в час
249;Парковка №139 (Зона 1004);Неглинная улица,2;5;Круглосуточно;50 рублей в час
250;Парковка №140 (Зона 1004);Театральная площадь,1;18;Круглосуточно;50 рублей в час
251;Парковка №141 (Зона 1004);Театральная площадь,1;18;Круглосуточно;50 рублей в час
252;Парковка №142 (Зона 1004);Театральный проезд,23;31;Круглосуточно;50 рублей в час
253;Парковка №143 (Зона 1004);Театральный проезд,1/4;37;Круглосуточно;50 рублей в час
254;Парковка №144 (Зона 1004);Никольская улица,25;5;Круглосуточно;50 рублей в час
255;Парковка №145 (Зона 1004);Ильинка улица,2/1;7;Круглосуточно;50 рублей в час
256;Парковка №146 (Зона 1004);Ильинка улица,2/5;11;Круглосуточно;50 рублей в час
257;Парковка №147 (Зона 1004);Ильинка улица,3/8;6;Круглосуточно;50 рублей в час
258;Парковка №148 (Зона 1004);Ильинка улица,4;10;Круглосуточно;50 рублей в час
259;Парковка №149 (Зона 1004);Биржевая площадь,5/2;23;Круглосуточно;50 рублей в час
260;Парковка №150 (Зона 1004);Биржевая площадь,5/2;23;Круглосуточно;50 рублей в час
261;Парковка №151 (Зона 1004);Биржевая площадь,3/7;10;Круглосуточно;50 рублей в час
262;Парковка №153 (Зона 1004);Богоявленский переулок,3;5;Круглосуточно;50 рублей в час
263;Парковка №154 (Зона 1004);Богоявленский переулок,3с1;7;Круглосуточно;50 рублей в час
264;Парковка №155 (Зона 1004);Богоявленский переулок,8/1;10;Круглосуточно;50 рублей в час
265;Парковка №156 (Зона 1004);Ильинка улица,9;10;Круглосуточно;50 рублей в час
266;Парковка №157 (Зона 1004);Ильинка улица,9/10;3;Круглосуточно;50 рублей в час
267;Парковка №158 (Зона 1004);Ильинка улица,15;6;Круглосуточно;50 рублей в час
268;Парковка №159 (Зона 1004);Ильинка улица,12;6;Круглосуточно;50 рублей в час
269;Парковка №160 (Зона 1004);Ильинка улица,21;5;Круглосуточно;50 рублей в час
270;Парковка №161 (Зона 1004);Ильинка улица,2/14;9;Круглосуточно;50 рублей в час
271;Парковка №162 (Зона 1004);Большой Черкасский переулок,2/10;7;Круглосуточно;50 рублей в час
272;Парковка №163 (Зона 1004);Большой Черкасский переулок,12/1;4;Круглосуточно;50 рублей в час
273;Парковка №164 (Зона 1004);Лубянская площадь,2;9;Круглосуточно;50 рублей в час
274;Парковка №165 (Зона 1004);Лубянская площадь,6;6;Круглосуточно;50 рублей в час
275;Парковка №166 (Зона 1004);Новая площадь,10;5;Круглосуточно;50 рублей в час
276;Парковка №168 (Зона 1004);Новая площадь,14;9;Круглосуточно;50 рублей в час
277;Парковка №169 (Зона 1004);Новая площадь,16;6;Круглосуточно;50 рублей в час
278;Парковка №170 (Зона 1004);Старая площадь,6/5;14;Круглосуточно;50 рублей в час
279;Парковка №171 (Зона 1004);Старая площадь,2;8;Круглосуточно;50 рублей в час
280;Парковка №172 (Зона 1004);Рыбный переулок,3;15;Круглосуточно;50 рублей в час
281;Парковка №173 (Зона 1004);Варварка улица,4;31;Круглосуточно;50 рублей в час
282;Парковка №1 (Зона 1003);Малый гнездниковский переулок,3/5;5;Круглосуточно;50 рублей в час
283;Парковка №2 (Зона 1003);Леонтьевский переулок,15;5;Круглосуточно;50 рублей в час
284;Парковка №128 (Зона 1007);Лубянский проезд,13;7;Круглосуточно;50 рублей в час
285;Парковка №129 (Зона 1007);Лубянский проезд,13;8;Круглосуточно;50 рублей в час
286;Парковка №130 (Зона 1007);Лубянский проезд,7;2;Круглосуточно;50 рублей в час
287;Парковка №131 (Зона 1007);Лубянский проезд,5;3;Круглосуточно;50 рублей в час
288;Парковка №132 (Зона 1007);Большой Спасоглинищевский переулок,12/3;8;Круглосуточно;50 рублей в час
289;Парковка №133 (Зона 1007);Лубянский проезд,21;5;Круглосуточно;50 рублей в час
290;Парковка №134 (Зона 1007);Лубянский проезд,21;4;Круглосуточно;50 рублей в час
291;Парковка №135 (Зона 1007);Лубянский проезд,21;3;Круглосуточно;50 рублей в час
