"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Площадь (га)";"1_Телефон";"1_Типы захоронений";"1_Статус кладбища";"0_POINT_X";"0_POINT_Y"
66.00000000000;"Люблинское кладбище";"Люблинское кладбище";"Ул. Ставропольская, д. 74а";37.78634900000;55.68021700000;0.00000000000;"";"";"";"";19.01320000000;"(499) 784-02-71";"Захоронение урной в землю";"Закрытое";4206357.12139999960;7495017.52699999980
67.00000000000;"Маврино кладбище";"Маврино кладбище";"Поселение Кленовское, д. Маврино";37.29913900000;55.29134200000;0.00000000000;"";"";"";"";0.60000000000;"232-40-21";"";"Закрытое";4152121.15089999980;7418616.22460000030
68.00000000000;"Медведковское кладбище";"Медведковское кладбище";"ул. Заповедная, вл. 7а";37.63786700000;55.86471900000;0.00000000000;"";"";"";"";1.18840000000;"(903) 177-11-05";"Захоронение урной в землю";"Закрытое";4189828.18220000020;7531532.04710000010
69.00000000000;"Митинское кладбище";"Митинское кладбище";"6-й км Пятницкого ш.";37.34800900000;55.87423600000;0.00000000000;"";"";"";"";108.10000000000;"(499) 650-75-10";"Открытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг";"Закрытое";4157561.33779999990;7533420.23950000010
70.00000000000;"Миусское кладбище";"Миусское кладбище";"Ул. Сущевский Вал, вл. 19";37.59805600000;55.79382900000;0.00000000000;"";"";"";"";5.03530000000;"689-43-13";"Захоронение урной в землю";"Закрытое";4185396.44150000020;7517481.85529999990
71.00000000000;"Никольское кладбище";"Никольское кладбище";"Зеленоград, Московский просп. (д. Ржавки)";37.24131100000;55.99731200000;0.00000000000;"";"";"";"";1.60000000000;"(499) 735-85-33";"";"Закрытое";4145683.77180000020;7557880.57870000040
72.00000000000;"Никольское кладбище";"Никольское кладбище";"Поселение Вороновское, с. Никольское";37.22296800000;55.37115500000;0.00000000000;"";"";"";"";0.60000000000;"232-40-21";"";"Закрытое";4143641.83470000000;7434235.52960000000
73.00000000000;"Николо-Архангельское (Центральное) кладбище";"Николо-Архангельское (Центральное) кладбище";"Носовихинское ш., д. 16";37.89571900000;55.74526700000;0.00000000000;"";"";"";"";148.08000000000;"791-05-39";"Открытый колумбарий, закрытый колумбарий, захоронение урной в землю";"Закрытое";4218532.13430000000;7507871.76229999960
74.00000000000;"Николо-Архангельское (Восточное) кладбище";"Николо-Архангельское (Восточное) кладбище";"Носовихинское ш., д. 16";37.90331500000;55.73597000000;0.00000000000;"";"";"";"";148.08000000000;"791-05-39";"Открытый колумбарий, закрытый колумбарий, захоронение урной в землю";"Закрытое";4219377.71719999980;7506033.31290000030
75.00000000000;"Николо-Хованское кладбище";"Николо-Хованское кладбище";"Поселение Сосенское, с. Николо-Хованское";37.44916800000;55.59623100000;0.00000000000;"";"";"";"";5.70000000000;"448-67-88";"";"Закрытое";4168822.30439999980;7478453.01360000020
76.00000000000;"Николо-Хованское-1 кладбище";"Николо-Хованское-1 кладбище";"Поселение Сосенское";37.44818100000;55.60681200000;0.00000000000;"";"";"";"";1.70000000000;"448-67-88";"";"Закрытое";4168712.43200000000;7480537.94440000040
77.00000000000;"Новогромово кладбище";"Новогромово кладбище";"поселение Вороновское, д. Новогромово";37.23264700000;55.27345500000;0.00000000000;"";"";"";"";0.20000000000;"232-40-21";"";"Закрытое";4144719.29550000000;7415120.07060000020
78.00000000000;"Новодевичье кладбище";"Новодевичье кладбище";"Лужнецкий пр., д. 2";37.55451700000;55.72477600000;0.00000000000;"";"";"";"";6.00000000000;"(499) 246-66-14";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4180549.70200000000;7503820.31800000000
79.00000000000;"Ознобишино кладбище";"Ознобишино кладбище";"Поселение Щаповское, д. Ознобишино";37.44291400000;55.40165200000;0.00000000000;"";"";"";"";4.80000000000;"232-40-21";"";"Закрытое";4168126.11120000020;7440212.07450000010
80.00000000000;"Ореховское кладбище";"Ореховское кладбище";"Шипиловский пр., д. 45";37.69489000000;55.60704000000;0.00000000000;"";"";"";"";2.25120000000;"325-28-45";"Захоронение урной в землю";"Закрытое";4196175.95179999990;7480582.87779999990
81.00000000000;"Орловское кладбище";"Орловское кладбище";"Д. Орловка, ул. Староорловская, пос. Западный, Боровское ш., 4-й км. За МКАД";37.37808000000;55.63165500000;0.00000000000;"";"";"";"";0.65520000000;"437-47-00";"Открытый колумбарий";"Закрытое";4160908.82470000020;7485435.33930000010
82.00000000000;"Останкинское кладбище";"Останкинское кладбище";"Прудовый пр., вл. 11";37.61305300000;55.81633300000;0.00000000000;"";"";"";"";2.32030000000;"602-21-39";"Открытый колумбарий";"Закрытое";4187065.89999999990;7521939.30900000040
