0_OBJECTID;0_UIDNFTN; 1_Наименование;1_Адрес;0_X;0_Y;1_Режим работы;0_Товары; 0_QUANTITY
84;9;Ярмарка выходного дня;Школьная ул., дом 25;10934,6379;8783,0775;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;70
85;6;Ярмарка выходного дня;Панкратьевский пер., дом 2;8468,7001;11661,1312;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;35
86;24;Ярмарка выходного дня;Новопесчаная ул., дом 12;945,8963;14672,137;Пятница, суббота, воскресенье с 8.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;25
87;44;Ярмарка выходного дня;Хабаровская ул., дом 12/23;20587,0568;17244,615;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;50
88;38;Ярмарка выходного дня;Снежная ул., дом 18;9351,0124;20601,5647;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;44
89;22;Ярмарка выходного дня;Фестивальная ул., дом 21;-1339,4093;21299,5751;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
90;18;Ярмарка выходного дня;Флотская ул., дом 25;933,7037;21665,4449;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;25
91;35;Ярмарка выходного дня;ул. Хачатуряна, дом 13;6487,6487;21683,5985;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;35
92;41;Ярмарка выходного дня;Ярославское шоссе, дом 114;13050,0853;22248,7358;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;32
93;28;Ярмарка выходного дня;Инженерная ул., дом 1 стр. 1;5260,5405;23534,1636;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;24
94;121;Ярмарка выходного дня;Зеленоград, Центральная пл., дом 1;-17353,4185;35966,2119;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;15
95;92;Ярмарка выходного дня;ул. Академика Челомея, дом 8 корп. 1;1983,725;-647,6347;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
96;54;Ярмарка выходного дня;ул. Перерва, дом 43 корп. 1;15825,1882;-790,8126;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
97;87;Ярмарка выходного дня;просп. Вернадского, дом 7;2651,4009;2960,1942;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
98;117;Ярмарка выходного дня;Щукинская ул., владение 42;-2110,7329;15862,3365;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;90
99;21;Ярмарка выходного дня;ул. Зои и Александра Космодемьянских, дом 23;1240,8554;17490,0643;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;32
100;71;Ярмарка выходного дня;Братеевская ул., дом 16 корп. 1;16864,024;-3605,9954;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
101;88;Ярмарка выходного дня;Малая Юшуньская ул., владение 1В стр. 1;6160,895;-1537,9001;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;50
102;12;Ярмарка выходного дня;Комсомольский просп., дом 22;5283,3401;6857,1426;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;65
103;23;Ярмарка выходного дня;Старый Петровско-Разумовский пр., дом 1/23 стр. 1;4172,7285;14892,6261;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
104;27;Ярмарка выходного дня;ул. Павла Корчагина, дом 2;9894,2656;15964,6135;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;27
105;107;Ярмарка выходного дня;Ярцевская ул., дом 21;-5345,5955;8087,1124;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;60
106;114;Ярмарка выходного дня;Тушинская ул., дом 15;-3371,4205;17735,638;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;60
107;120;Ярмарка выходного дня;Зеленоград, пл. Юности, дом 2;-17947,6489;37344,4289;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;25
108;3;Ярмарка выходного дня;ул. Забелина, дом 2/1 стр. 1;8890,383;9803,5013;Неделя через неделю: пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;80
109;10;Ярмарка выходного дня;Долгоруковская ул., владение 40-44/2 корп. 6;6503,0861;12464,1381;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;60
110;13;Ярмарка выходного дня;ул. Большая Полянка, дом 28;7586,6591;7610,4854;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
111;14;Ярмарка выходного дня;Красноармейская ул., дом 36-38;2450,922;15185,3624;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;35
112;15;Ярмарка выходного дня;Ленинградский просп., дом 33 корп. 2;3932,3446;13332,2654;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
113;33;Ярмарка выходного дня;Тайнинская ул., дом 24 стр. 1;11799,6976;24175,5184;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;19
114;43;Ярмарка выходного дня;Измайловский просп., дом 91;19363,455;13627,9964;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;25
115;46;Ярмарка выходного дня;ул. Молостовых, дом 13;20996,756;9922,1291;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;20
116;50;Ярмарка выходного дня;Новокосинская ул., владение 14;22523,0765;7932,8525;Пятница, суббота, воскресенье с 9.00 до 21.00;Сельскохозяйственная продукция, продовольственные товары;30
117;53;Ярмарка выходного дня;Новочеркасский бульв., дом 19А;14129,2097;-1975,9085;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;35
118;61;Ярмарка выходного дня;Волгоградский просп., владение 46;14721,1669;4602,3801;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
119;65;Ярмарка выходного дня;Нижегородская ул., дом 76;13586,6855;7309,5748;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;15
120;77;Ярмарка выходного дня;Нагатинская ул., дом 35;10254,1037;1188,9622;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
121;4;Ярмарка выходного дня;Гусятников пер., дом 1/32 стр. 1;8909,9993;10936,0333;Неделя через неделю: пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
122;45;Ярмарка выходного дня;Уссурийская ул., владение 5/7;19695,6196;17626,9269;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
