0_uidnftn;1_Наименование;0_label;1_Трасса маршрута;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_moddate;0_moduser;1_Сторона фиксации;1_Административный округ;0_shape_leng
205;Маршрут №4 по ЗелАО;Маршрут №4 по ЗелАО;ул. Летчика Полагушина - пр-т Генерала Алексеева - Панфиловский пр-т;0;0;0;;;;;12:00:00 AM;;Внешняя стороны;ЗелАО;0,041692504
206;Маршрут №5 по ЗелАО;Маршрут №5 по ЗелАО;Проектируемый 649 пр. - Проектируемый 621 пр.;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗелАО;0,008705373
87;Маршрут №68 по ЦАО;Маршрут №68 по ЦАО;ул. Волхонка - Гоголевский бул. - ул. Знаменка;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,023551041
88;Маршрут №69 по ЦАО;Маршрут №69 по ЦАО;ул. Дурова;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЦАО;0,012893893
89;Маршрут №70 по ЦАО;Маршрут №70 по ЦАО;ул. Гиляровского - ул. Трифоновская - пр-т Мира;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,022354016
90;Маршрут №71 по ЦАО;Маршрут №71 по ЦАО;ул. Щепкина - ул. Дурова - ул. Гиляровского;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,011754229
91;Маршрут №72 по ЦАО;Маршрут №72 по ЦАО;ул. Щепкина - ул. Дурова - ул. Гиляровского;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,015025657
92;Маршрут №73 по ЦАО;Маршрут №73 по ЦАО;ул. Сретенка - Даев пер. - Уланский пер. - просп. Академика Сахарова - Сретенский бул. - ул. Сретенка;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,021496655
93;Маршрут №74 по ЦАО;Маршрут №74 по ЦАО;Панкратьевский пер. - Большая Сухаревский пл. - Ананьевский пер. - Сретенский туп.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,010567579
94;Маршрут №75 по ЦАО;Маршрут №75 по ЦАО;Рыбников пер. - Костянский пер. - Сретенский бул. - ул. Сретенка;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,007736761
95;Маршрут №76 по ЦАО;Маршрут №76 по ЦАО;Романов пер. - ул. Воздвиженка - Большой Кисловский пер. - Большая Никитская ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,011387762
96;Маршрут №77 по ЦАО;Маршрут №77 по ЦАО;Борисов пер. - Тверская ул. - Никитский пер. - Большая Никитская ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,014264055
97;Маршрут №78 по ЦАО;Маршрут №78 по ЦАО;ул. Гашека - ул. Красина - Большая Грузинская ул. - 1-я Тверская-Ямская ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,025625719
98;Маршрут №79 по ЦАО;Маршрут №79 по ЦАО;2-я Брестская ул. - Триумфальная пл. - 1-я Брестская ул. - пл. Тверская Застава;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,02768443
99;Маршрут №80 по ЦАО;Маршрут №80 по ЦАО;Марксистская ул. - пер. Маяковского - ул. Воронцовская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,011392413
100;Маршрут №81 по ЦАО;Маршрут №81 по ЦАО;Максистская ул. - Новосельский пер. - ул. Воронцовская - ул. Гвоздева;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,016071876
101;Маршрут №82 по ЦАО;Маршрут №82 по ЦАО;Товарищеский пер. - ул. Александра Солженицина - Таганская пл.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,032711515
102;Маршрут №84 по ЦАО;Маршрут №84 по ЦАО;Дурасовский пер. - ул. Воронцово поле - Покровский бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,008629523
103;Маршрут №85 по ЦАО;Маршрут №85 по ЦАО;Гусятников пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,004333187
104;Маршрут №86 по ЦАО;Маршрут №86 по ЦАО;Большая Никитская ул. - Скарятинский пер. - Малая Никитская ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,017836181
105;Маршрут №87 по ЦАО;Маршрут №87 по ЦАО;Донская ул. - Безымянный пр. - Ленинский пр-т;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,012456465
106;Маршрут №88 по ЦАО;Маршрут №88 по ЦАО;ул. Зацепский Вал - Шлюзовая наб. - Кожевническая ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,025583821
107;Маршрут №89 по ЦАО;Маршрут №89 по ЦАО;Озерковская наб. - Большой Татарский пер. - Большая Татарская ул. - Садовнический пр.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,025230961
108;Маршрут №90 по ЦАО;Маршрут №90 по ЦАО;Чистый пер. - ул. Пречистенка - Хрущевский пер. - Гагаринский пер. - Староконюшенный пер. - Пречистенский пер. - Большой Левшинский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,018165748
109;Маршрут №91 по ЦАО;Маршрут №91 по ЦАО;3-й Зачатьевский пер. - Молочный пер. - Бутиковский пер. - 1-й Зачатьевский пер. - Пречистенская наб. - Коробейников пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,020594594
110;Маршрут №1 по 2СП;Маршрут №1 по 2СП;"ул. Новый Арбат - Краснопресненская наб. - Смоленская наб. - ул. Новый Арбат - Арбатская пл. - ул. Знаменка - ул. Моховая - ул. Воздвиженка
 ";0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,255822533
111;Маршрут №2 по 2СП;Маршрут №2 по 2СП;"ул. Новый Арбат - Краснопресненская наб. - Смоленская наб. - ул. Новый Арбат - Арбатская пл. - ул. Знаменка - ул. Моховая - ул. Воздвиженка
 ";0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,090167862
112;Маршрут №93 по ЦАО;Маршрут №93 по ЦАО;Цветной бул. - Петровский бул. - ул. Каретный ряд - ул. Садовая-Самотечная;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,031781714
113;Маршрут №94 по ЦАО;Маршрут №94 по ЦАО;ул. Садовая-Самотечная - ул. Делегатская - 2-й Волконский пер. - ул. Самотечная;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,018279707
