Реестровый номер,Фамилия,Имя,Отчество,Присвоение статуса Реквизиты решения о присвоении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении сведений об адвокате в реестр,Приостановление статуса Реквизиты решения совета адвокатской палаты о приостоновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о приостоновлении статуса адвоката,Возобновление статуса Реквизиты решения совета адвокатской палаты о возобновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о возобновлении,Прекращение статуса Реквизиты решения совета адвокатской палаты о прекращении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о прекращении статуса,Исключение сведений об адвокате из реестра Реквизиты уведомления совета адвокатской палаты,Реквизиты распоряжения территориального органа Минюста России об исключении сведений об адвокате,Внесение изменений Содержание изменений,Реквизиты распоряжения территориального органа Минюста России о внесении в реестр изменений,Column,Column2,Column3
77/169,Тарасова,Татьяна,Даниловна,№ от 27.10.1998 ,№584-а от 04.09.2002,,,,,№ 9 от 29.09.2011,№ 194-а от 14.10.2011,,,,,,МГКА,
77/170,Рачеева,Светлана,Владимировна,№ от 17.11.1998 ,№588-а от 04.09.2002,,,,,,,,,,,,МГКА,
77/171,Лямичев,Игорь,Валерьевич,№ от 17.02.1998 ,№596-а от 04.09.2002,,,,,,,,,,,,"Столич.КА ""Михайлов и коллеги""",
77/172,Колесникова,Светлана,Алексеевна,№ от 22.12.1998 ,№686-а от 05.09.2002,,,,,,,,,,,,МГКА,"МКА ""Центрюрсервис"""
77/173,Литвинов,Вячеслав,Владимирович,№ от 22.06.1999 ,№685-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/174,Еньков,Александр,Леонидович,№ от 06.07.1999 ,№591-а от 04.09.2002,,,,,,,,,,,,"АБ ""Александр Еньков и партннеры""",
77/175,Гончаренко,Светлана,Николаевна,№ от 25.08.1999 ,№545-а от 03.09.2002,,,,,,,,,,,,"АБ ""Гарант""",
77/176,Фомина,Галина,Львовна,№ от 13.06.2000 ,№654-а от 05.09.2002,№ от 25.09.2009 ,№295-а от 07.10.2009,,,,,,,,,приост.ст.,МГКА,
77/177,Теленков,Александр,Анатольевич,№ от 31.10.2000 ,№649-а от 05.09.2002,,,,,№3 от 18.03.2009 ,№105-а от 31.03.2009 ,,,,,прекр.ст.,МГКА,
77/178,Гребинюк,Екатерина,Владимировна,№ от 14.12.2000 ,№544-а от 03.09.2002,,,,,№10. от 17.02.2011,№50-а от 11.03.2011,,,,,,Межтеррит.КА,
77/179,Оксюк,Нина,Николаевна,№ от 01.07.1982 ,№664-а от 05.09.2002,,,,,,,,,,,,МРКА,"МКА ""Новоарбатская"""
77/180,Колосков,Игорь,Александрович,№ от 13.11.1991 ,№578-а от 04.09.2002,,,,,,,,,,,,МРКА,
77/181,Карташов,Юрий,Васильевич,№ от 21.01.1991 ,№609-а от 04.09.2002,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,,,искл.из реестра,,
77/182,Болмасов,Сергей,Владимирович,№ от 01.07.1992 ,№657-а от 05.09.2002,,,,,,,,,,,,кабинет,
77/183,Клейносов,Сергей,Ильич,№ от 09.09.1993 ,№660-а от 05.09.2002,,,,,,,,,,,,МРКА,
77/184,Колпаков,Олег,Иванович,№ от 09.09.1993 ,№577-а от 04.09.2002,,,,,,,,,,,,СКА прав.пом.в/с,
77/185,Байковская,Ирина,Алексеевна,№ от 01.07.1993 ,№618-а от 05.09.2002,,,,,,,,,,,искл.из реестра,,
77/186,Джакупов,Жунус,Аманжолович,№ от 01.07.1993 ,№627-а от 05.09.2002,,,,,№3 от 25.02.2004 ,№63-а от 18.03.2004 ,,,,,прекращен ст.,,
77/187,Терентьев,Виталий,Владимирович,№ от 01.09.1994 ,№650-а от 05.09.2002,,,,,№2 от 17.02.2011,№58-а от 21.03.2011,,,,,,кабинет,
77/188,Трушина,Любовь,Ивановна,№ от 01.06.1994 ,№655-а от 05.09.2002,,,,,,,,,,,,МРКА,
77/189,Дедушев,Дмитрий,Борисович,№ от 26.12.1994 ,№624-а от 05.09.2002,,,,,,,,,,,,Межотраслевая КА,возобн.ст.
77/190,Гусев,Денис,Владимирович,№ от 19.10.1994 ,№633-а от 05.09.2002,,,,,,,,,,,,"КА г.М ""13-я консультация""","МКА ""Гарантия"""
77/191,Ненашев,Владимир,Иванович,№ от 06.04.1995 ,№603-а от 04.09.2002,,,,,№43 от 21.02.2003,№23-а от 17.03.2003 ,,,,,,МРКА,
77/192,Зиновьев,Роберт,Юрьевич,№ от 21.09.1995 ,№665-а от 05.09.2002,,,,,,,,,,,,МРКА,
77/193,Брянцев,Алексей,Григорьевич,№ от 06.04.1995 ,№606-а от 04.09.2002,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,,,искл.из реестра,,
77/194,Александрова,Татьяна,Валентиновна,№ от 20.04.1995 ,№666-а от 05.09.2002,,,,,,,,,,,,Строгинская КА,
77/195,Товарнова,Наталья,Николаевна,№ от 19.10.1995 ,№635-а от 05.09.2002,,,,,,,,,,,,МРКА,
77/196,Алтунин,Иван,Петрович,№ от 17.08.1995 ,№583-а от 04.09.2002,,,,,,,,,,,,"КА ""Советник""",
77/197,Калиниченко,Оксана,Владимировна,№ от 15.05.1996 ,№623-а от 05.09.2002,,,,,,,,,,,,кабинет,
77/198,Девликамов,Анвар,Аминович,№ от 16.04.1997 ,№626-а от 05.09.2002,,,,,,,,,№12 от 18.12.2008 ,№05-а от 11.01.2009 ,искл.из реестра,"АБ ""АМО и парт.""",
77/199,Уткина,Нина,Александровна,№ от 25.03.1997 ,№581-а от 04.09.2002,,,,,,,,,,,,МЮЦ,
77/200,Рустамов,Георгий,Тимурович,№ от 17.06.1998 ,№611-а от 04.09.2002,,,,,,,,,,,искл.из реестра,,
77/201,Возняк,Оксана,Васильевна,№ от 18.03.1998 ,№625-а от 05.09.2002,,,,,,,,,,,,"АБ ""Б.Кузнецов и партнеры""",
77/202,Иванова,Галина,Григорьевна,№ от 20.01.1999 ,№610-а от 04.09.2002,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,,,искл.из реестра,,
77/203,Ефименко,Дмитрий,Иванович,№ от 21.04.1999 ,№607-а от 04.09.2002,,,,,№43 от 21.02.2003 ,№23-а от 17.09.2003 ,,,,,искл.из реестра,,
77/204,Гончарова,Ольга,Викторовна,№ от 01.10.1999 ,№622-а от 05.09.2002,,,,,,,,,,,,"КА ""Юков, Хренов и партнеры""",
77/205,Власова,Ольга,Игоревна,№ от 20.10.1999 ,№663-а от 05.09.2002,,,,,,,,,,,,"КА ""Адв.контора Мостова""",
77/206,Матвеев,Юрий,Викторович,№ от 19.05.1999 ,№617-а от 04.09.2002,,,,,,,,,,,,"АБ ""Консул""",
77/207,Стома,Владимир,Васильевич,№ от 16.06.1999 ,№582-а от 04.09.2002,,,,,,,,,,,,"МКА ""Новая адв.практика""",приост.ст.
77/208,Саляхов,Павел,Валерьевич,№ от 26.04.2000 ,№661-а от 05.09.2002,,,,,,,,,,,,СКА прав.пом.в/с,
77/209,Федотов,Андрей,Геннадьевич,№ от 27.09.2000 ,№580-а от 04.09.2002,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,,,искл.из реестра,,
77/210,Кульбашный,Тимофей,Юрьевич,№ от 25.10.2000 ,№605-а от 04.09.2002,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,,,искл.из реестра,,
77/211,Изгарская,Нина,Александровна,№ от 01.02.2000 ,№608-а от 04.09.2002,,,,,,,№43 от 21.02.20003 ,№23-а от 17.03.2003 ,,,искл.из реестра,,
77/212,Булгакова,Анна,Валерьевна,№ от 21.06.2000 ,№619-а от 05.09.2002,№ 6 от 18.06.2012,№ 3211 от 29.06.2012,,,,,,,,,,МРКА,
77/213,Ламбин,Александр,Иванович,№ от 15.12.2000 ,№600-а от 04.09.2002,,,,,№ от 14.09.2006 ,№185-а от 18.09.2006,,,,,прекр.ст.,кабинет,
77/214,Захаров,Станислав,Эдуардович,№ от 02.10.2001 ,№621-а от 05.09.2002, №8 от 14.08.2007,№162-а от 30.08.2007 ,,,,,,,,,приост.ст.,МРКА,
77/215,Данилова,Любовь,Анатольевна,№ от 01.03.2001 ,№662-а от 05.09.2002,,,,,,,,,,,,МРКА,"КА ""Центр-я КА г.М"""
77/216,Глякин,Андрей,Иванович,№ от 10.12.2001 ,№620-а от 05.09.2002,,,,,,,,,,,,Центр-я КА г.М,
77/217,Гартман,Екатерина,Андреевна,№ от 31.01.2001 ,№676-а от 04.09.2002,,,,,,,,,,,,МРКА,
77/218,Бондаренко,Леонид,Витальевич,№ от 28.11.2001 ,№682-а от 05.09.2002,,,,,,,,,,,,"КА ""Арбитраж""",
77/219,Ципинов,Заур,Валерьевич,№ от 13.08.2001 ,№616-а от 04.09.2002,,,,,,,,,,,,"Спец.КА ""Клишин и партнеры""",
77/220,Студеникина,Валентина,Васильевна,№ от 16.03.2001 ,№656-а от 05.09.2002,,,,, №6 от 27.05.2004, №133-а от 18.06.2004,,,,,прекращен ст.,,
77/221,Иванов,Владимир,Александрович,№ от 11.05.2001 ,№575-а от 04.09.2002,,,,,,,,,,,,кабинет,Межтеррит.КА
77/222,Жукова,Александра,Валерьевна,№ от 24.12.2001 ,№597-а от 04.09.2002,,,,,№11 от 20.11.2006, №231-а от 29.11.2006,,,,,прекр.ст.,"МКА ""Адв.парт-во""",
77/223,Викторова,Светлана,Юрьевна,№ от 14.12.1989 ,№391-а от 21.08.2002,,,,, №11 от 28.02.2008, №50-а от 14.03.2008,,,,,прекр.ст.,"Спец.АБ ""Инюрколлегия""",
77/224,Алпатиков,Валерий,Федорович,№ от 12.12.1989 ,№388-а от 21.08.2002,,,,,,,,,,,,"КА ""Инюрколлегия""",
77/225,Воробьев,Дмитрий,Викторович,№ от 23.03.1993 ,№390-а от 21.08.2002,,,,,,,,,,,,"КА ""Инюрконсалтинг""",
77/226,Горошкова,Людмила,Михайловна,№ от 27.09.1994 ,№389-а от 21.08.2002,,,,,,,,,,,,"Спец.АБ ""Инюрколлегия""",
77/227,Костанов,Юрий,Артемович,№ от 15.01.1994 ,№151-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""","АБ ""ЮрГазЭнерго"""
77/228,Суворов,Владимир,Константинович,№ от 14.04.1994 ,№153-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.пар-во""",
77/229,Коршунов,Геннадий,Николаевич,№ от 02.11.1994 ,№162-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/230,Зозуля,Григорий,Тихонович,№ от 28.07.1994 ,№146-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/231,Кокурин,Юрий,Константинович,№ от 01.09.1994 ,№163-а от 02.08.2002,,,,,,,,,,,,"АБ ""ЮрКомпэкс""",
77/232,Назаров,Олег,Вениаминович,№ от 21.12.1994 ,№158-а от 02.08.2002,,,,,,,,,,,,кабинет,
77/233,Шарипов,Зуфар,Шакурович,№ от 01.09.1994 ,№164-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/234,Таланкин,Вячеслав,Васильевич,№ от 07.12.1994 ,№165-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/235,Новиков,Анатолий,Михайлович,№ от 15.01.1994 ,№174-а от 02.08.2002,,,,,,,,,,,,МРКА,
77/236,Морозова,Марина,Николаевна,№ от 16.11.1995 ,№177-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/237,Тарнопольская,Тамара,Григорьевна,№ от 26.04.1995 ,№182-а от 02.08.2002,,,,, №5 от 21.05.2008, №106-а от 02.06.2008,,,,,прекр.ст.,"МКА ""Адв.парт-во""",
77/238,Шахов,Константин,Вячеславович,№ от 17.01.1995 ,№379-а от 21.08.2002,,,,, №19 от 27.02.2006, №54-а от 21.03.2006,,,,,прекр.ст.,"АБ ""Шахов и партнеры""",
77/239,Конышев,Олег,Михайлович,№ от 06.12.1995 ,№350-а от 16.08.2002,,,,,,,,,,,,Межрег.КА,
77/240,Дербенев,Владимир,Николаевич,№ от 15.04.1995 ,№346-а от 16.08.2002,,,,,,,,,,,,"КА ""Прав.помощь""",
77/241,Климешина,Юлия,Олеговна,№ от 15.02.1996 ,№317-а от 12.08.2002,,,,, №6 от 23.06.2009, №231-а от 17.07.2009,,,,,прекращен ст.,"МГКА ""Таганская""",
77/242,Аврех,Михаил,Аронович,№ от 24.03.1997 ,№173-а от 12.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/243,Чефранова,Елена,Александровна,№ от 24.03.1997 ,№184-а от 06.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/244,Мангутова,Лариса,Камильевна,№ от 25.07.1998 ,№345-а от 16.08.2002,№6 от 13.02.2003 №9 от 25.09.2007,№19а от11.03.2003 №179-а от15.10.2007, №429 от 10.03.2004, №62-а от 18.03.2004,,,,,Алиева,№28-а от 09.02.2007 ,приост.ст.,приост.ст.,возобн.ст.
77/245,Капунцов,Николай,Александрович,№ от 22.01.1998 ,№357-а от 16.08.2002,,,,,,,,,,,,Межрег.КА,
77/246,Щукина,Наталия,Александровна,№ от 20.08.1998 ,№356-а от 16.08.2002,,,,,,,,,,,,Межрег.КА,
77/247,Федоров,Владимир,Георгиевич,№ от 20.08.1998 ,№355-а от 16.08.2002,,,,,,,,,,,,Межрег.КА,
77/248,Гусенкова,Ольга,Юрьевна,№ от 06.10.1999 ,№219-а от 06.08.2002,,,,,,,,,,,,"АБ ""Прав.сод-е бизнесу""",
77/249,Паничева,Анна,Ильинична,№ от 24.11.1999 ,№183-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/250,Файтулин,Игорь,Геннадьевич,№ от 21.10.1999 ,№354-а от 16.08.2002,,,,,,,,,,,,Межрег.КА,
77/251,Кадыров,Сергей,Евгеньевич,№ от 15.02.2000 ,№367-а от 16.08.2002,,,,,,,,,,,,кабинет,
77/252,Тарарыкина,Валерия,Владимировна,№ от 15.06.2000 ,№385-а от 21.08.2002,,,,,,,,,Геворкян,№303-а от 12.11.2010 ,,кабинет,
77/253,Солдатов,Геннадий,Михайлович,№ от 05.12.2000 ,№220-а от 06.08.2002,,,,,,,,,,,,"КА ""Мос.юр.бизнес-центр""",
77/254,Царан,Елена,Станиславовна,№ от 21.02.2000 ,№221-а от 06.08.2002,,,,,,,,,,,,"Спец.КА ""Клишин и партнеры""",
77/255,Энтин,Владимир,Львович,№ от 05.07.2000 ,№218-а от 06.08.2002,,,,,,,,,,,,"Спец.КА ""Клишин и партнеры""",
77/256,Улищенко,Марина,Борисовна,№ от 17.02.2000 ,№181 - а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/257,Васильева,Ольга,Авенировна,№ от 13.01.2000 ,№171-а от 02.08.2002,,,,,,,,,,,,кабинет,
77/258,Пантелеев,Игорь,Борисович,№ от 12.10.2000 ,№156-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/259,Чечеткина,Зоя,Васильевна,№ от 13.01.2000 ,№155-а от 02.08.2002,,,,,,,,,,,прекращен ст.,,
77/260,Козлова,Софья,Алексеевна,№ от 07.07.2000 ,№144-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
