№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
103	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БЫКОВО	Разовый	1163.0
104	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЛ 49 КМ	Разовый	50.0
105	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КОРЕНЕВО	Разовый	298.0
106	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	АВСЮНИНО	Разовый	89.0
107	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ВЯЛКИ	Абонемент	2.0
108	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЛЮЩЕВО	Абонемент	9.0
109	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЛ 47 КМ	Разовый	415.0
110	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КУЗЯЕВО	Разовый	21.0
111	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БРОННИЦЫ	Абонемент	5.0
112	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СЕТУНЬ	Абонемент	66.0
113	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА ПАВ	Разовый	3995.0
114	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МИХНЕВО	Разовый	505.0
115	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОЖЕРЕЛЬЕ	Разовый	231.0
116	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БИРЮЛЕВО ПАСС	Абонемент	77.0
117	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ШУГАРОВО	Разовый	62.0
118	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛЕНИНСКАЯ	Разовый	151.0
119	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛЕНИНСКАЯ	Абонемент	2.0
120	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БАКОВКА	Абонемент	43.0
