№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
1849	Продукты питания , пр-т Вернадского, вл.101	просп. Вернадского 101 к. 3	ЗАО	Тропарево-Никулино	Модульный объект	с 1 января по 31 декабря	01.04.2012 0:00:00	31.12.2014 0:00:00	817-000576	24.04.2012 0:00:00
1850	продтовары на Академика Виноградова ул., вл.4-А	ул. Академика Виноградова 4 к. 1	ЮЗАО	Тёплый Стан	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1851	овощи и фрукты на Островитянова ул., вл.2	ул. Островитянова 2	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004376	18.08.2011 0:00:00
1852	хлеб на Тёплый Стан ул.,  вл.21 корп.1	ул. Тёплый Стан 21 к. 1	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-005010	25.08.2011 0:00:00
1853	Юсубов В.Г.	ул. Лавочкина 56	САО	Ховрино	Павильон	с 1 января по 31 декабря	19.09.2011 0:00:00	18.09.2014 0:00:00	200-000368	19.09.2011 0:00:00
1854	Бакалея на ул. Минская, д. 5	Минская ул. 5	ЗАО	Фили-Давыдково	Павильон	с 1 января по 31 декабря	29.03.2012 0:00:00	28.03.2015 0:00:00	819-000416	29.03.2012 0:00:00
1855	Печать на ул. Минская, вл. 5	Минская ул. 5	ЗАО	Фили-Давыдково	Модульный объект	с 1 января по 31 декабря	01.07.2012 0:00:00	01.07.2015 0:00:00		
1856	Ёлочный базар на Островитянова 2	ул. Островитянова 2	ЮЗАО	Тёплый Стан	Елочный базар	с 20 декабря по 31 декабря	20.12.2011 0:00:00	31.12.2014 0:00:00		
1857	цветы на Островитянова ул., вл.2	ул. Островитянова 2	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004744	30.11.2011 0:00:00
1858	хлеб на Академика Виноградова ул., вл.4 корп.2	ул. Академика Виноградова 4 к. 2	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004398	16.08.2011 0:00:00
1859	Эллой 1	1-я Радиаторская ул. 9	САО	Войковский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000925	28.12.2011 0:00:00
1860	Павильон на ул. Маршала Бирюзова, вл. 12	ул. Маршала Бирюзова 12	СЗАО	Щукино	Павильон	с 1 января по 31 декабря	17.05.2012 0:00:00	17.05.2015 0:00:00	900-002514	18.05.2012 0:00:00
1861	Лагуна Койл	1-я Радиаторская ул. 9	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000807	20.06.2012 0:00:00
1862	Мороженое на ул. Коштоянца, 1/83	ул. Коштоянца 1/83	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	28.12.2011 0:00:00	27.12.2014 0:00:00	814-000367	10.01.2012 0:00:00
1863	Печать на ул. Маршала Бирюзова, д. 12 (в 25-ти метровой зоне)	ул. Маршала Бирюзова 12	СЗАО	Щукино	Модульный объект	с 1 января по 31 декабря	06.09.2011 0:00:00	06.09.2014 0:00:00	900-001995	21.09.2011 0:00:00
1864	Бахчевые культуры;  на ул. Генерала Тюленева 41А	ул. Генерала Тюленева 41А	ЮЗАО	Тёплый Стан	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	01.11.2015 0:00:00		
1865	Продукты питания на Ул.Раменки, 5	ул. Раменки 5А	ЗАО	Раменки	Павильон	с 1 января по 31 декабря	01.01.2012 0:00:00	31.12.2014 0:00:00		
1866	Краснопресненское агентство печати	Волоколамское шоссе 14	САО	Сокол	Модульный объект	с 1 января по 31 декабря	02.04.2012 0:00:00	21.05.2015 0:00:00	200-000625	22.05.2012 0:00:00
1867	ЮПИТЕР-ТК	Большая Филёвская ул. 21 к. 1	ЗАО	Филевский парк	Киоск	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	800-000018	18.07.2012 0:00:00
1868	Печать на пр-т. Маршала Жукова, вл.13-15	просп. Маршала Жукова, вл. 13-15	СЗАО	Хорошево-Мневники	Модульный объект	с 1 января по 31 декабря	19.09.2011 0:00:00	19.09.2014 0:00:00	900-002153	05.10.2011 0:00:00
1869	Овощи и фрукты;  на Петрозаводская ул. 9 к. 2	Петрозаводская ул. 9 к. 2	САО	Ховрино	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1870	АГЕНТСТВО ПЕЧАТИ МОСКОВСКИЙ ЗАПАД	Большая Филёвская ул. 21 к. 1	ЗАО	Филевский парк	Киоск	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000424	27.02.2012 0:00:00
1871	ЭСКИМО-ФИЛИ	Большая Филёвская ул. 21 к. 1	ЗАО	Филевский парк	Киоск	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000418	20.02.2012 0:00:00
1872	Димсон	Фестивальная ул. 53	САО	Ховрино	Павильон	с 1 января по 31 декабря	31.08.2011 0:00:00	30.08.2014 0:00:00	200-000367	31.08.2011 0:00:00
1873	ТРАСТ ЛТД	ул. Раменки 5	ЗАО	Раменки	Ролл-бар	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1874	цветы на Мичуринский пр-т., д.21	Мичуринский просп. 21 к. 1	ЗАО	Раменки	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	815-000538	07.10.2011 0:00:00
1875	Печать на ул. Удальцова, 57	ул. Удальцова 57	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	11.03.2012 0:00:00	10.03.2015 0:00:00	814-000379	25.05.2011 0:00:00
1876	Печать на проспект Вернадского, вл. 14	просп. Вернадского 14	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	24.11.2011 0:00:00	23.11.2014 0:00:00	814-000372	31.10.2011 0:00:00
1877	Теки	Нарвская ул. 9А	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	200-000211	20.09.2011 0:00:00
1878	Импэкт	Нарвская ул. 9А	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	200-000210	03.10.2011 0:00:00
1879	ТК Краст	Нарвская ул. 9А	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	200-000206	21.09.2011 0:00:00
1880	молоко на Проспект Вернадского, вл.14	просп. Вернадского 14	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	14.09.2011 0:00:00	13.09.2014 0:00:00	814-000341	07.10.2011 0:00:00
1881	Овощи, фрукты на Проспект Вернадского, вл.14	просп. Вернадского 14	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	28.09.2011 0:00:00	27.09.2014 0:00:00	814-000342	07.10.2011 0:00:00
1882	ремонт обуви/одежды на Нарвская, 9а-11	Нарвская ул. 9А	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	200-000209	03.10.2011 0:00:00
1883	Бытовые услуги на проспект Вернадского, 14	просп. Вернадского 14	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	23.01.2012 0:00:00	22.01.2015 0:00:00	800-000003	27.01.2012 0:00:00
1884	гастрономия на Проспект Вернадского, вл.14	просп. Вернадского 14	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	19.09.2011 0:00:00	18.09.2014 0:00:00	814-000340	07.10.2011 0:00:00
1885	Общественное питание ерритория Парка Победы на Поклонной горе Аллея Моряков	пл. Победы	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1886	Свободное место Печать	ул. Алабяна 13 к. 1	САО	Сокол	Модульный объект	с 1 января по 31 декабря	01.05.2012 0:00:00	30.04.2014 0:00:00		
1887	печать на Теплый Стан, вл.1а	ул. Тёплый Стан 1А	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004730	14.11.2011 0:00:00
1888	Михайлова К.В.	ул. Зорге 34	САО	Сокол	Модульный объект	с 1 января по 31 декабря	19.09.2011 0:00:00	18.09.2014 0:00:00	200-000310	19.09.2011 0:00:00
1889	Печать на Ленинский проспект, вл. 110	Ленинский просп. 110 к. 1	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	11.03.2012 0:00:00	10.03.2015 0:00:00	814-000378	15.03.2012 0:00:00
1890	Свободное место печать	Ленинградский просп. 78 к. 1	САО	Аэропорт	Модульный объект	с 1 января по 31 декабря	02.04.2012 0:00:00	02.04.2014 0:00:00		
1891	Свободное место	Ленинградский просп. 78 к. 1	САО	Аэропорт	Модульный объект	с 1 января по 31 декабря	02.04.2012 0:00:00	02.04.2014 0:00:00		
1892	Рыба ООО "Агора"	Ангарская ул. 8	САО	Западное Дегунино	Модульный объект	с 1 января по 31 декабря	02.08.2011 0:00:00	02.08.2014 0:00:00	200-000001	02.08.2011 0:00:00
1893	Печать	Ангарская ул. 8	САО	Западное Дегунино	Модульный объект	с 1 января по 31 декабря	01.10.2012 0:00:00	01.10.2015 0:00:00		
1894	мясная гастрономия на ул.Флотская, вл.25-Б	Флотская ул. 25Б	САО	Головинский	Модульный объект	с 1 января по 31 декабря	23.08.2011 0:00:00	23.08.2014 0:00:00	200-000202	23.08.2011 0:00:00
1895	Краснопресненское агентство печати	Новопесчаная ул. 19	САО	Сокол	Модульный объект	с 1 января по 31 декабря	02.04.2012 0:00:00	01.04.2014 0:00:00	200-000680	30.05.2012 0:00:00
1896	мороженое на ул.Флотская, вл.25-Б	Флотская ул. 25Б	САО	Головинский	Модульный объект	с 1 января по 31 декабря	18.08.2011 0:00:00	18.08.2014 0:00:00	200-000200	18.08.2011 0:00:00
