№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
68	Бахчевой развал у корп.1204	Зеленоград  к. 1204	ЗелАО	Силино	Бахчевой развал	с 1 августа по 1 ноября	08.06.2012 0:00:00	08.06.2015 0:00:00	1000-001565	14.06.2012 0:00:00
69	Цветы, Район Силино, У корп. у корп.1204 в составе торговой зоны № 2	Зеленоград  к. 1204	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	12.09.2011 0:00:00	12.09.2014 0:00:00	1000-001543	13.06.2012 0:00:00
70	Зеленоград, район Силино, перед корп.1215, пл. 30 кв.м	Зеленоград  к. 1215	ЗелАО	Силино	Елочный базар	с 20 декабря по 31 декабря	20.12.2012 0:00:00	31.12.2014 0:00:00	1000-001576	24.08.2012 0:00:00
71	печать на Зеленоград, Район Матушкино, у остановки "Автокомбинат", пл.8,5	Зеленоград, 1-й Западный пр.	ЗелАО	Матушкино	Модульный объект	с 1 января по 31 декабря	30.09.2011 0:00:00	30.09.2014 0:00:00	1000-01321	19.10.2011 0:00:00
72	Овощи-фрукты, район Силино, у корп.1206 А объект № 4	Зеленоград  к. 1206А	ЗелАО	Силино	Лоток	с 1 апреля по 1 ноября	15.05.2012 0:00:00	01.11.2014 0:00:00	1000-001488	21.05.2012 0:00:00
73	Рыба на Зеленоград, Район Старое Крюково,У корп.843 в составе торговой зоны № 4	Зеленоград  к. 843	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-01270	21.09.2011 0:00:00
74	Бахчевой развал район Старое Крюково у корп. 802	Зеленоград  к. 802	ЗелАО	Старое Крюково	Бахчевой развал	с 1 августа по 1 ноября	09.06.2012 0:00:00	09.06.2015 0:00:00	1000-001571	15.06.2012 0:00:00
75	Бытовое обслуживание в составе торговой зоны укорп. 802	Зеленоград  к. 802	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	13.09.2011 0:00:00	13.09.2014 0:00:00	1000-01236	20.09.2011 0:00:00
76	Мороженое, соки, воды на Зеленоград,  Район Матушкино, 1-й Западный проезд в составе торговой зоны № 13, пл.6 кв.м	Зеленоград, 1-й Западный пр.	ЗелАО	Матушкино	Модульный объект	с 1 января по 31 декабря	04.08.2011 0:00:00	04.08.2014 0:00:00	1000-01257	21.09.2011 0:00:00
77	Печать на Зеленоград, Район Старое Крюково, у корп.813 А, пл.8,5	Зеленоград  к. 813	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01328	19.10.2011 0:00:00
78	Овощи-фрукты, у корп. 1109 (приобъектный)	Зеленоград  к. 1109	ЗелАО	Силино	Лоток	с 1 апреля по 1 ноября	01.04.2011 0:00:00	01.11.2014 0:00:00		
79	печать на Зеленоград, Район Силино, у корп.1121	Зеленоград  к. 1121	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	08.11.2011 0:00:00	08.11.2014 0:00:00	1000-01335	17.11.2011 0:00:00
80	Мороженое, соки, воды на Зеленоград, Район Старое Крюково, У корп.843 в составе торговой зоны № 4	Зеленоград  к. 843	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	05.08.2011 0:00:00	05.08.2014 0:00:00	1000-01251	20.09.2011 0:00:00
81	Овощи, фрукты на Зеленоград, Район Старое Крюково, у корп.802 в составе торговой зоны № 5	Зеленоград  к. 802	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	06.06.2012 0:00:00	06.06.2015 0:00:00	1000-001546	13.06.2012 0:00:00
82	Гастрономия, Зеленоград, район Силино, у корп.1001в составе торговой зоны	Зеленоград  к. 1001	ЗелАО	Силино	Павильон	с 1 января по 31 декабря	08.12.2011 0:00:00	08.12.2014 0:00:00	1000-01472	15.12.2011 0:00:00
83	Бахчевой развал у корп.1130 у павильона	Зеленоград  к. 1130	ЗелАО	Силино	Бахчевой развал	с 1 августа по 1 ноября	09.06.2012 0:00:00	09.06.2015 0:00:00	1000-001564	14.06.2012 0:00:00
84	Гастрономия Район Старое Крюково, Ул.Железнодо-рожная в составе торговой зоны № 8	Зеленоград	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-01268	21.09.2011 0:00:00
