№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
336	Сезонное кафе	Марксистская ул. 10 с. 1	ЦАО	Таганский	50.0	ГЛАВСНАБ ПРАВИТЕЛЬСТВА МОСКВЫ	ГЛАВСНАБ ПРАВИТЕЛЬСТВА МОСКВЫ
337	Сезонное кафе	Народная ул. 4 с. 2	ЦАО	Таганский	70.0	Крошка - Картошка	ФЛОРЕСТЕНА
338	Сезонное кафе	Таганская ул. 31/22	ЦАО	Таганский	50.0	Чайхана Зейтун	Эмигрант
339	Сезонное кафе	Якиманская наб. 4 с. 1	ЦАО	Якиманка	60.0	Ромашка	Аркада
340	Сезонное кафе	Воронцовская ул. 6 с. 1	ЦАО	Таганский	150.0	ФЛОКСА	ФЛОКСА
341	Сезонное кафе	Болотная наб. 3 с. 4	ЦАО	Якиманка	80.0	KPK "Рай"	АльконЦентр
342	Сезонное кафе	ул. Павла Андреева 4	ЦАО	Замоскворечье	50.0	Рестаран "Самамбери"	ООО Альпина
343	Сезонное кафе	3-я Фрунзенская ул. 9	ЦАО	Хамовники	50.0	ТРАКТИР ХЛЕСТАКОВ	СВ-ТРЕСТЪ
344	Сезонное кафе	Партийный пер. 1 с. 1	ЮАО	Даниловский	276.0	САНДЫК	НЕФИС
345	Сезонное кафе	Рязанский просп. 22	ЮВАО	Рязанский	30.0	ВИКТОРИЯ	Виктория
346	Сезонное кафе	Снайперская ул. 9	ВАО	Вешняки	60.0	Сластена-1	СЛАСТЕНА-1
347	Сезонное кафе	ул. Симоновский Вал 15	ЮВАО	Южнопортовый	50.0	СТЕЙДКОМ"	ТАНУКИ
348	Сезонное кафе	Рязанский просп. 22	ЮВАО	Рязанский	30.0	-	СУШКОВА НАТАЛЬЯ ЛЕОНИДОВНА
349	Сезонное кафе	Дербеневская ул. 20 с. 10	ЮАО	Даниловский	35.0	ПИПЛ	ПИПЛ
350	Сезонное кафе	Профсоюзная ул. 12	ЮЗАО	Академический	72.0	ДЕЛИУЗ	ДЭЛИУЗ
351	Сезонное кафе	Ленинский просп. 70/11	ЮЗАО	Гагаринский	20.0	-	АВАНТАЖ-Т
352	Сезонное кафе	просп. Вернадского 11/19	ЮЗАО	Ломоносовский	28.0	СТАР КОМПАНИ"	СТАР КОМПАНИ
353	Сезонное кафе	просп. Вернадского 11/19	ЮЗАО	Ломоносовский	8.0	Шоколад	Шоколад
354	Сезонное кафе	ул. Дмитрия Ульянова 16 к. 1	ЮЗАО	Академический	157.0	ГОРТОРГ-21	ГОРТОРГ-21
355	Сезонное кафе	Ленинский просп. 70/11	ЮЗАО	Гагаринский	80.0	-	КОМБИНАТ ПИТАНИЯ "АЛЬФ".
356	Сезонное кафе	Ленинский просп. 68/10	ЮЗАО	Гагаринский	80.0	-	КОМБИНАТ ПИТАНИЯ "АЛЬФ".
357	Сезонное кафе	Ленинский просп. 68/10	ЮЗАО	Гагаринский	80.0	-	БУЛЫГИНА ЕЛЕНА ВАЛЕРЬЕВНА
358	Сезонное кафе	просп. 60-летия Октября 20	ЮЗАО	Академический	480.0	ФИРМА "АТМ"	ФИРМА АТМ
359	Сезонное кафе	просп. Андропова 11 к. 2	ЮАО	Нагатинский затон	60.0	Боэми	Дилер-С
360	Сезонное кафе	Ленинский просп. 68/10	ЮЗАО	Гагаринский	80.0	-	БУЛЫГИНА ЕЛЕНА ВАЛЕРЬЕВНА
361	Сезонное кафе	Ленинский просп. 68/10	ЮЗАО	Гагаринский	80.0	-	МОНА
362	Сезонное кафе	Ленинский просп. 68/10	ЮЗАО	Гагаринский	80.0	-	АЛЬФА-БАНК
363	Сезонное кафе	Жулебинский бульв. 25	ЮВАО	Выхино-Жулебино	60.0	Ресторан Гема	Стрелец
364	Сезонное кафе	Жулебинский бульв. 25	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе	Стрелец
365	Сезонное кафе	ул. Генерала Кузнецова 12	ЮВАО	Выхино-Жулебино	50.0	Ресоран "Рай"	ЭРЕНАДА
366	Сезонное кафе	Большая Черёмушкинская ул. 1	ЮЗАО	Котловка	850.0	Капитан Флинт	ЭкоФуд
367	Сезонное кафе	Ломоносовский просп. 23	ЮЗАО	Гагаринский	40.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
368	Сезонное кафе	просп. 60-летия Октября 23	ЮЗАО	Академический	250.0	МОНТЕ КРИСТО	МОНТЕ КРИСТО
369	Сезонное кафе	ул. Дмитрия Ульянова 5	ЮЗАО	Гагаринский	60.0	-	БУЛЫГИНА ЕЛЕНА ВАЛЕРЬЕВНА
370	Сезонное кафе	ул. Шверника 13 к. 1	ЮЗАО	Академический	250.0	ЛИАНА	Юсифов
371	Сезонное кафе	ул. Раменки 5	ЗАО	Раменки	130.0	СИГМА "Сказочный двор"	СИГМА
372	Сезонное кафе	Волжский бульв. 52 с. 5	ЮВАО	Текстильщики	200.0	КЛИО	КЛИО
373	Сезонное кафе	ул. Дмитрия Ульянова 5	ЮЗАО	Гагаринский	80.0	-	ИНКА
374	Сезонное кафе	ул. Раменки 5	ЗАО	Раменки	96.0	ТК МИРЭЙН	ТК МИРЭЙН
375	Сезонное кафе	ул. Дмитрия Ульянова 5	ЮЗАО	Гагаринский	80.0	-	МОНА
376	Сезонное кафе	пл. Джавахарлала Неру 1	ЗАО	Раменки	40.0	ХАМИОТО"Планета суши"	ХАМИОТО
377	Сезонное кафе	ул. Вавилова 39	ЮЗАО	Академический	40.0	БОТИК ПЕТРА	МОНТЕНЕГРО ФИШ
378	Сезонное кафе	Ленинский просп. 57	ЮЗАО	Гагаринский	80.0	-	МОНА
379	Сезонное кафе	Ленинский просп. 57	ЮЗАО	Гагаринский	80.0	-	КОМБИНАТ ПИТАНИЯ "АЛЬФ".
380	Сезонное кафе	Мичуринский просп. 36	ЗАО	Раменки	50.0	МИТЧЕЛ "Чайхона №1"	МИТЧЕЛ
381	Сезонное кафе	Жулебинский бульв. 9	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе, ул. Жулебинский бульвар, д. 9	МаркетКомпании
382	Сезонное кафе	Мичуринский просп. 34	ЗАО	Раменки	75.0	ПЛАНЕТА СУШИ МИЧУРИНСКИЙ	ПЛАНЕТА СУШИ МИЧУРИНСКИЙ
383	Сезонное кафе	ул. Юных Ленинцев 52	ЮВАО	Кузьминки	20.0	ВЫСОТА	ВЫСОТА
384	Сезонное кафе	Мичуринский просп. 21	ЗАО	Раменки	200.0	ПРОТОН "Пряник"	ПРОТОН
385	Сезонное кафе	Привольная ул. 13 к. 1	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе, ул. Привольная, д. 13, к. 1	ГЛАВЧАЙПРОМ
386	Сезонное кафе	ул. Юных Ленинцев 28 к. 2	ЮВАО	Кузьминки	18.0	Кафе "Тест-Драйв"	ТРУД
387	Сезонное кафе	просп. 60-летия Октября 8А	ЮЗАО	Академический	320.0	ПАРУС	ПАРУС
388	Сезонное кафе	Варшавское шоссе 2	ЮАО	Донской	50.0	Илья Муромец	ГрандПрестиж
389	Сезонное кафе	Самаркандский бульв. 9 к. 1	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе, ул. Самаркандский бульвар, д. 8	Автостринк
390	Сезонное кафе	Варшавское шоссе 9 с. 1Б	ЮАО	Донской	58.0	The MANSION	Первое кафе
391	Сезонное кафе	Волжский бульв.	ЮВАО	Текстильщики	110.0	-	СУШКОВА НАТАЛЬЯ ЛЕОНИДОВНА
392	Сезонное кафе	Волжский бульвар, кварт. 114А  к. 9	ЮВАО	Кузьминки	18.0	Кафе-бар	Конвивиум
393	Сезонное кафе	Мичуринский просп. 22 к. 1	ЗАО	Раменки	45.0	РУФИНА	РУФИНА
394	Сезонное кафе	Волгоградский просп. 152 с. 1	ЮВАО	Кузьминки	12.0	кафе "Маленький мук"	ТЕНАНС
395	Сезонное кафе	Мичуринский просп. 7	ЗАО	Раменки	108.0	"Шуваловский"	ООО КРАБСБУРГЕР
396	Сезонное кафе	Ленинский просп. 44	ЮЗАО	Гагаринский	80.0	-	КОМБИНАТ ПИТАНИЯ "АЛЬФ".
397	Сезонное кафе	Ленинский просп. 40	ЮЗАО	Гагаринский	80.0	-	КОМБИНАТ ПИТАНИЯ "АЛЬФ".
398	Сезонное кафе	Матвеевская ул. 20 к. 3	ЗАО	Очаково-Матвеевское	199.8	Троль-М	Троль-М
399	Сезонное кафе	ул. Трофимова 36 к. 1	ЮВАО	Южнопортовый	50.0	МиксОриент	МиксОриент
400	Сезонное кафе	Ленинский просп. 45	ЮЗАО	Гагаринский	40.0	-	СК "АЛЬЯНС-ТЕХНО "
401	Сезонное кафе	Волгоградский просп. 98 к. 1	ЮВАО	Кузьминки	20.0	ТАНУКИ	АСТОРИЯ
402	Сезонное кафе	Мичуринский просп. 29 к. 3	ЗАО	Раменки	46.0	ВОСТОК	ВОСТОК
403	Сезонное кафе	Волгоградский просп. 145 к. 2	ЮВАО	Кузьминки	25.0	Тратория "Скузи"	ЮССА
404	Сезонное кафе	Ломоносовский просп. 29 к. 3	ЗАО	Раменки	70.0	Цветочный лес	Цветочный лес
405	Сезонное кафе	Мичуринский просп. 3	ЗАО	Раменки	108.0	АССАДЖИАТОРЕ	АССАДЖИАТОРЕ
406	Сезонное кафе	Ленинский просп. 43	ЮЗАО	Гагаринский	60.0	Бар "Бульдог"	ФИРМА ЛАКС
407	Сезонное кафе	Ленинский просп. 43	ЮЗАО	Гагаринский	60.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
408	Сезонное кафе	Волгоградский просп.	ЮВАО	Кузьминки	20.0	кафе"ВИТАЛИТА"	ТАЙМ
409	Сезонное кафе	Волгоградский просп. 119А	ЮВАО	Кузьминки	62.0	-	СК "АЛЬЯНС-ТЕХНО "
410	Сезонное кафе	Люблинская ул. 4Б	ЮВАО	Текстильщики	100.0	ТЕКС	ТЕКС
411	Сезонное кафе	Ферганская ул. 17	ЮВАО	Выхино-Жулебино	50.0	Легранд-Кафе	Бункер
412	Сезонное кафе	Нежинская ул. 17 к. 2	ЗАО	Очаково-Матвеевское	162.0	ИБИС	Ибис
413	Сезонное кафе	Волгоградский просп. 111	ЮВАО	Кузьминки	21.0	Ресторан "Венге"	КОФЕ-БРИЗ
414	Сезонное кафе	Волжский бульвар, кварт. 114А  к. 1	ЮВАО	Кузьминки	21.0	"Хоум Бар"	Профи-Сервис
415	Сезонное кафе	Большая Тульская ул. 8	ЮАО	Даниловский	112.0	СИПАДАН	СИПАДАН
416	Сезонное кафе	ул. Косыгина 5	ЮЗАО	Гагаринский	60.0	-	МОНА
417	Сезонное кафе	ул. Мастеркова 6А с. 2	ЮАО	Даниловский	40.0	КОФЕ ХАУЗ	Кофе Хаус Эспрессо и Капучино Бар
418	Сезонное кафе	Люблинская ул. 4 с. 1	ЮВАО	Текстильщики	316.0	Мега-Групп	Мега-Групп
419	Сезонное кафе	Автозаводская ул. 8 с. 3	ЮАО	Даниловский	8.0	ТЕРЕМОК ИНВЕСТ	ТЕРЕМОК ИНВЕСТ
420	Сезонное кафе	Даниловская наб. 2 к. 4	ЮАО	Даниловский	14.0	Татьяна	Татьяна
421	Сезонное кафе	Даниловская наб. 6 к. 1А	ЮАО	Даниловский	50.0	СОЛО	Соло
422	Сезонное кафе	ул. Фёдора Полетаева 21 к. 1	ЮВАО	Рязанский	72.0	КАРАЕВА Ф.К.	КАРАЕВА
423	Сезонное кафе	Нежинская ул. 13 с. 2	ЗАО	Очаково-Матвеевское	45.0	Бар на Нежинской	Бар на Нежинской
424	Сезонное кафе	ул. Ленинская Слобода 19	ЮАО	Даниловский	40.0	Эскада сервис	Тех.центр
425	Сезонное кафе	Большая Тульская ул. 13	ЮАО	Даниловский	72.0	ПИПЛ	ПИПЛ
426	Сезонное кафе	Автозаводская ул. 8 с. 3	ЮАО	Даниловский	66.0	СТАРЫЙ ЕГЕРЬ	Трейд-Бизнес
427	Сезонное кафе	Большая Тульская ул. 2	ЮАО	Даниловский	50.0	Макдоналдс	Макдональдс-Москва
428	Сезонное кафе	Автозаводская ул. 8 с. 3	ЮАО	Даниловский	52.0	Антоновка	Поворот Сервис
429	Сезонное кафе	Волгоградский просп. 73 с. 1	ЮВАО	Текстильщики	80.0	СОНТЕК-ЮГ"	КАФЕ-ПИЦЦЕРИЯ "СОНТЭК-ЮГ"
430	Сезонное кафе	2-я Рощинская ул. 10	ЮАО	Даниловский	56.0	ГУРМАН	МЕРИАЛ
431	Сезонное кафе	ул. Ленинская Слобода 17	ЮАО	Даниловский	25.0	ДЖИНРО РУСЬ ФУД КО	ДЖИНРО РУСЬ ФУД КО
432	Сезонное кафе	Автозаводская ул. 8 с. 3	ЮАО	Даниловский	25.0	СТАРЫЙ ДУКАН	МАРИЯ
433	Сезонное кафе	ул. Орджоникидзе 12	ЮАО	Донской	40.0	ВОСТОЧНАЯ СКАЗКА	У ПИКОВОЙ ДАМЫ
434	Сезонное кафе	Большая Тульская ул. 11	ЮАО	Даниловский	89.0	ЗАО "Гастрономическая Академия Рожниковского"	Гастрономическая Академия Рожниковского
435	Сезонное кафе	Большая Тульская ул. 11	ЮАО	Даниловский	96.0	Кафе Старбакс	КОФЕ СИРЕНА
436	Сезонное кафе	ул. Орджоникидзе 7	ЮАО	Донской	50.0	Сопрано	Терминал-Донской
437	Сезонное кафе	Большая Тульская ул. 2	ЮАО	Даниловский	31.0	Кофейня ШОКОЛАДНИЦА	Галерея - АЛЕКС
438	Сезонное кафе	ул. Ленинская Слобода 26	ЮАО	Даниловский	10.0	Дай Суши	Фортеца Фуд
439	Сезонное кафе	Ленинский просп. 37	ЮАО	Донской	50.0	Корчма "Тарас Бульба"	СИТИ
440	Сезонное кафе	Зеленодольская ул. 30 к. 3	ЮВАО	Кузьминки	28.0	ФАРАОН	ИРАДА
441	Сезонное кафе	Нежинская ул. 9 к. 1	ЗАО	Очаково-Матвеевское	168.0	Ресторан "Россичъ"	ААССИФИК
442	Сезонное кафе	Нежинская ул. 9 к. 1	ЗАО	Очаково-Матвеевское	100.0	Цинк	Цинк
443	Сезонное кафе	ул. Академика Скрябина 14 к. 1	ЮВАО	Рязанский	30.0	КАЛИПСО	БРИЗОЛЬ М
444	Сезонное кафе	Велозаводская ул. 6	ЮАО	Даниловский	30.0	КОРЧМА ТАРАС БУЛЬБА	ТАЛЛИПРОМ
445	Сезонное кафе	ул. Академика Скрябина 12А с. 1	ЮВАО	Рязанский	45.0	КАРАВИЧЕВ С.Ф	КАРАВИЧЕВ С.Ф.
