№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
74	25523938	77:10:0006002:130	мкр 14-й    (г Москва, 14-й микрорайон г Зеленограда, корпуса 1468, 1469)	23450.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ ШКОЛЫ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
75	25521549	77:02:0014011:118	ул Седова    (г Москва, ул Седова, вл 12а)	11391.0	Субъект РФ - город Москва	Нет	эксплуатации здания спорткомплекса "Свиблово"
76	25523805	77:09:0005013:133	проезд Боткинский 2-й    (г Москва, 2-й Боткинский проезд, вл 5)	122881.0	Субъект РФ - город Москва	Нет	эксплуатации городской клинической больницы
77	25521473	77:01:0005001:120	пер 1-й Смоленский    (г Москва, пер 1-й Смоленский, вл 23)	130.0	Субъект РФ - город Москва	Нет	эксплуатации здания под административные цели
78	25521628	77:02:0008002:132	ш Алтуфьевское    (г Москва, ш Алтуфьевское, вл 24Б)	8639.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
79	25523328	77:08:0002001:129	ш Пятницкое    (г Москва, ш Пятницкое, вл 42, корпус 2)	8456.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ №1920
80	25523892	77:10:0004001:161	мкр 1-Й    (г Москва, 1-й микрорайон г Зеленограда, корпус 163)	15466.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
81	25521858	77:02:0022006:118	ул Новоостанкинская 2-я    (г. Москва, 2-я Новоостанкинская ул., влад. 4)	3819.0	Субъект РФ - город Москва	Нет	для эксплуатации центра социального обслуживания
82	25523266	77:07:0015005:193	ул Шолохова    (г Москва, ул Шолохова, вл 9, корп 2)	9266.0	Субъект РФ - город Москва	Нет	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
83	25495363	77:01:0003057:34	ул Трифоновская    (г Москва, ул Трифоновская, вл 45 А, стр 1)	4584.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебно-воспитательные цели и благоустройства территории
