№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
105	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1852	111399, г. Москва, Федеративный проспект,  11	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 305-34-13; (495) 305-76-11; (495) 304-49-60	http://co-1852.ru/
106	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1926	111672, г. Москва, ул. Салтыковская, д. 5 А	Бюджетное	Общеобразовательное учреждение	Центр образования	702-75-40	http://1926.edu.ru/
107	Государственное бюджетное образовательное учреждение города Москвы центр образования № 491 "Марьино"	109651, г. Москва, Новочеркасский бульвар, дом 19	Бюджетное	Общеобразовательное учреждение	Центр образования	357-52-01	http://cog491.mskobr.ru
108	Государственное бюджетное образовательное учреждение города Москвы центр образования № 218	127434 г. Москва Дмитровское ш., д. 5а	Бюджетное	Общеобразовательное учреждение	Центр образования	976-40-87	http://school218.ru
109	Государственное бюджетное образовательное учреждение города Москвы центр образования № 363	107258, г. Москва, Алымов пер, дом 15.	Бюджетное	Общеобразовательное учреждение	Центр образования	963-32-95	http://school363.ru
110	Государственное бюджетное образовательное учреждение города Москвы центр образования № 422 "Перово"	111524, г. Москва, ул. Плющева, д.14а	Бюджетное	Общеобразовательное учреждение	Центр образования	309-26-32	http://school422.ru/
111	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1811 "Измайлово"	105203, г. Москва, Первомайская ул., .111.	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 465-14-49	http://www.1811.ru/
112	Государственное бюджетное образовательное учреждение города Москвы центр образования № 556	117570 г. Москва, Днепропетровская ул. д.33 А	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 313-74-10	http://co556.ru/
113	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 1998 "Лукоморье"	115612 г. Москва, Борисовские пруды д.12	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	341-78-55	http://www.lukomor.ru/
114	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1485	119571 г.Москва, Проспект Вернадского, д. 127, корпус 2	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 438-75-44; (495) 438-75-56; (495) 438-75-88; (495) 438-71-65; (495) 438-65-56; (495) 438-75-66; (495) 438-55-65; (495) 438-61-92	http://co1485.mskzapad.ru
